"R0000100","R0006500","R0007900","T9900000"
1,8,8,12
2,5,8,12
3,10,12,12
4,11,12,14
5,12,12,18
6,12,12,16
7,12,12,12
8,9,6,14
9,12,10,14
10,12,12,9
11,12,12,16
12,15,12,16
13,12,16,16
14,12,12,19
15,12,12,16
16,12,12,13
17,12,15,13
18,12,16,13
19,10,12,12
20,12,18,17
21,12,18,16
22,12,12,16
23,12,12,19
24,12,12,12
25,14,16,14
26,16,17,16
27,14,20,16
28,14,20,13
29,0,4,12
30,-2,6,12
31,9,3,12
32,12,12,18
33,12,15,12
34,13,12,13
35,12,12,13
36,14,12,12
37,12,12,12
38,12,12,12
39,12,12,12
40,10,12,14
41,10,12,15
42,14,12,12
43,10,9,12
44,12,12,12
45,9,10,12
46,12,12,19
47,12,16,12
48,12,12,12
49,12,12,14
50,9,10,12
51,9,12,8
52,12,14,14
53,-2,4,12
54,3,5,10
55,12,12,12
56,12,12,11
57,12,12,12
58,12,17,17
59,-2,-2,12
60,12,16,12
61,12,16,14
62,12,16,16
63,12,12,16
64,15,12,13
65,16,12,16
66,12,17,14
67,-3,18,18
68,16,17,16
69,17,16,18
70,20,16,18
71,17,16,19
72,14,16,16
73,16,16,18
74,15,16,16
75,14,16,16
76,16,16,14
77,16,16,16
78,16,18,16
79,16,18,18
80,14,20,19
81,12,20,19
82,-2,-2,12
83,6,-2,10
84,-2,12,12
85,11,11,11
86,9,9,9
87,11,12,12
88,12,12,16
89,12,12,16
90,5,4,16
91,5,3,16
92,12,12,12
93,-2,-2,12
94,10,10,10
95,10,-2,12
96,6,-2,12
97,12,11,14
98,17,14,13
99,12,16,14
100,-2,-2,12
101,10,6,20
102,10,5,16
103,11,-3,18
104,12,-2,12
105,12,12,12
106,12,9,16
107,11,9,16
108,11,8,20
109,-3,-3,12
110,-2,12,13
111,11,10,12
112,12,8,12
113,-2,-2,12
114,6,7,12
115,10,12,16
116,10,12,15
117,10,12,15
118,-2,8,9
119,11,8,16
120,16,12,16
121,17,15,17
122,11,10,12
123,16,16,16
124,14,14,15
125,12,14,13
126,14,15,14
127,12,12,12
128,10,12,12
129,13,14,16
130,0,-2,13
131,13,15,12
132,-2,14,12
133,10,11,12
134,9,12,12
135,9,12,16
136,-2,12,12
137,13,16,16
138,14,16,16
139,16,16,15
140,15,12,17
141,12,16,18
142,9,10,12
143,10,10,15
144,9,10,12
145,12,12,12
146,12,12,12
147,10,12,14
148,12,12,12
149,11,12,12
150,12,14,12
151,12,12,12
152,12,12,12
153,12,13,12
154,12,12,8
155,12,12,9
156,12,17,11
157,12,16,20
158,12,16,17
159,12,16,16
160,8,8,14
161,-2,7,12
162,16,17,18
163,16,18,16
164,12,12,12
165,10,12,12
166,10,12,13
167,12,12,12
168,6,10,16
169,6,10,14
170,12,8,14
171,13,12,16
172,12,-2,9
173,10,7,9
174,13,12,13
175,12,9,14
176,12,12,16
177,12,12,12
178,12,14,16
179,11,12,12
180,12,16,16
181,14,12,12
182,-2,-2,13
183,12,12,12
184,12,12,16
185,12,12,12
186,12,12,18
187,12,12,15
188,10,12,10
189,10,12,16
190,16,17,18
191,16,17,19
192,12,12,16
193,12,12,16
194,12,12,16
195,10,16,18
196,20,16,18
197,11,12,12
198,16,17,18
199,12,12,12
200,16,12,12
201,13,20,16
202,16,16,14
203,10,-2,13
204,5,16,12
205,-2,12,12
206,11,12,10
207,9,10,12
208,-2,-2,12
209,12,-3,11
210,12,12,16
211,12,12,16
212,12,16,12
213,12,16,16
214,12,16,16
215,12,12,16
216,11,14,16
217,12,14,10
218,12,12,16
219,12,11,20
220,12,12,20
221,-2,-2,12
222,9,-2,9
223,-2,-2,12
224,9,-2,12
225,9,-2,12
226,9,6,13
227,9,9,12
228,12,15,9
229,8,9,12
230,12,8,15
231,-3,16,12
232,10,14,14
233,10,15,12
234,9,9,12
235,12,12,15
236,9,12,13
237,11,7,12
238,9,12,12
239,10,11,10
240,8,8,12
241,11,11,12
242,12,12,12
243,12,12,12
244,16,7,12
245,14,12,14
246,12,12,17
247,13,8,20
248,16,8,14
249,12,12,17
250,12,8,12
251,10,10,14
252,10,-2,12
253,8,12,11
254,11,8,12
255,10,8,12
256,11,9,13
257,11,9,12
258,14,12,14
259,12,12,12
260,12,18,16
261,12,8,16
262,12,-3,12
263,12,12,12
264,10,10,16
265,12,-2,16
266,12,14,12
267,8,12,12
268,12,13,14
269,12,18,16
270,12,16,12
271,12,16,20
272,12,12,16
273,12,12,15
274,15,18,13
275,14,18,14
276,12,13,12
277,16,13,12
278,12,10,13
279,12,14,12
280,14,12,18
281,13,13,18
282,13,13,16
283,8,12,12
284,8,11,12
285,8,12,12
286,-3,12,16
287,10,8,12
288,10,9,12
289,11,8,12
290,6,7,10
291,10,-3,12
292,12,12,20
293,12,12,13
294,12,18,12
295,12,12,10
296,-2,-2,12
297,12,-3,12
298,6,12,16
299,6,12,11
300,2,6,12
301,5,-2,12
302,5,-2,12
303,4,-2,12
304,5,-2,11
305,3,-4,12
306,11,11,14
307,-3,12,12
308,12,12,12
309,12,12,13
310,12,8,12
311,-3,12,12
312,-3,10,16
313,11,10,11
314,-3,-3,14
315,-3,10,12
316,12,12,12
317,12,18,16
318,12,12,12
319,-3,-3,18
320,12,10,12
321,10,12,16
322,10,12,16
323,13,12,12
324,12,12,9
325,12,12,15
326,16,20,14
327,15,16,16
328,12,-2,10
329,12,-2,8
330,5,6,9
331,5,-2,12
332,5,6,12
333,12,-2,12
334,9,-2,9
335,13,12,16
336,12,12,12
337,12,12,12
338,12,-2,12
339,12,-2,11
340,12,-2,15
341,12,16,14
342,12,16,18
343,-2,14,13
344,16,16,17
345,13,14,16
346,12,8,16
347,12,12,17
348,12,12,12
349,12,12,13
350,12,12,17
351,12,16,12
352,12,16,12
353,12,12,12
354,12,12,12
355,12,12,14
356,12,12,12
357,12,13,16
358,12,14,16
359,14,13,16
360,16,16,19
361,12,12,16
362,12,13,12
363,12,12,12
364,14,14,16
365,14,16,14
366,14,14,16
367,16,16,16
368,16,12,17
369,12,19,16
370,12,18,16
371,12,18,14
372,12,18,18
373,4,4,12
374,4,4,12
375,4,4,12
376,12,12,20
377,9,12,12
378,9,12,10
379,9,12,8
380,12,10,11
381,10,12,12
382,5,10,13
383,5,10,12
384,5,12,12
385,10,8,12
386,10,7,12
387,10,7,12
388,12,14,15
389,12,16,12
390,11,12,10
391,12,12,12
