,R0000100,f_HGC,m_HGC,HGC
0,1,2,2,5
1,2,2,1,5
2,3,5,4,5
3,4,5,4,6
4,5,5,5,9
5,6,5,5,7
6,7,5,5,5
7,8,1,3,6
8,9,4,5,6
9,10,5,5,3
10,11,5,5,7
11,12,5,6,7
12,13,7,5,7
13,14,5,5,10
14,15,5,5,7
15,16,5,5,6
16,17,6,5,6
17,18,7,5,6
18,19,5,4,5
19,20,9,5,8
20,21,9,5,7
21,22,5,5,7
22,23,5,5,10
23,24,5,5,5
24,25,7,6,6
25,26,8,7,7
26,27,10,6,7
27,28,10,6,6
28,29,1,0,5
29,30,1,,5
30,31,1,3,5
31,32,5,5,9
32,33,6,5,5
33,34,5,6,6
34,35,5,5,6
35,36,5,6,5
36,37,5,5,5
37,38,5,5,5
38,39,5,5,5
39,40,5,4,6
40,41,5,4,6
41,42,5,6,5
42,43,3,4,5
43,44,5,5,5
44,45,4,3,5
45,46,5,5,10
46,47,7,5,5
47,48,5,5,5
48,49,5,5,6
49,50,4,3,5
50,51,5,3,2
51,52,6,5,6
52,53,1,,5
53,54,1,1,4
54,55,5,5,5
55,56,5,5,4
56,57,5,5,5
57,58,8,5,8
58,59,,,5
59,60,7,5,5
60,61,7,5,6
61,62,7,5,7
62,63,5,5,7
63,64,5,6,6
64,65,5,7,7
65,66,8,5,6
66,67,9,,9
67,68,8,7,7
68,69,7,8,9
69,70,7,10,9
70,71,7,8,10
71,72,7,6,7
72,73,7,7,9
73,74,7,6,7
74,75,7,6,7
75,76,7,7,6
76,77,7,7,7
77,78,9,7,7
78,79,9,7,9
79,80,10,6,10
80,81,10,5,10
81,82,,,5
82,83,,1,4
83,84,5,,5
84,85,4,4,4
85,86,3,3,3
86,87,5,4,5
87,88,5,5,7
88,89,5,5,7
89,90,1,1,7
90,91,1,1,7
91,92,5,5,5
92,93,,,5
93,94,4,4,4
94,95,,4,5
95,96,,1,5
96,97,4,5,6
97,98,6,8,6
98,99,7,5,6
99,100,,,5
100,101,1,4,10
101,102,1,4,7
102,103,,4,9
103,104,,5,5
104,105,5,5,5
105,106,3,5,7
106,107,3,4,7
107,108,2,4,10
108,109,,,5
109,110,5,,6
110,111,4,4,5
111,112,2,5,5
112,113,,,5
113,114,2,1,5
114,115,5,4,7
115,116,5,4,6
116,117,5,4,6
117,118,2,,3
118,119,2,4,7
119,120,5,7,7
120,121,6,8,8
121,122,4,4,5
122,123,7,7,7
123,124,6,6,6
124,125,6,5,6
125,126,6,6,6
126,127,5,5,5
127,128,5,4,5
128,129,6,6,7
129,130,,0,6
130,131,6,6,5
131,132,6,,5
132,133,4,4,5
133,134,5,3,5
134,135,5,3,7
135,136,5,,5
136,137,7,6,7
137,138,7,6,7
138,139,7,7,6
139,140,5,6,8
140,141,7,5,9
141,142,4,3,5
142,143,4,4,6
143,144,4,3,5
144,145,5,5,5
145,146,5,5,5
146,147,5,4,6
147,148,5,5,5
148,149,5,4,5
149,150,6,5,5
150,151,5,5,5
151,152,5,5,5
152,153,6,5,5
153,154,5,5,2
154,155,5,5,3
155,156,8,5,4
156,157,7,5,10
157,158,7,5,8
158,159,7,5,7
159,160,2,2,6
160,161,2,,5
161,162,8,7,9
162,163,9,7,7
163,164,5,5,5
164,165,5,4,5
165,166,5,4,6
166,167,5,5,5
167,168,4,1,7
168,169,4,1,6
169,170,2,5,6
170,171,5,6,7
171,172,,5,3
172,173,2,4,3
173,174,5,6,6
174,175,3,5,6
175,176,5,5,7
176,177,5,5,5
177,178,6,5,7
178,179,5,4,5
179,180,7,5,7
180,181,5,6,5
181,182,,,6
182,183,5,5,5
183,184,5,5,7
184,185,5,5,5
185,186,5,5,9
186,187,5,5,6
187,188,5,4,4
188,189,5,4,7
189,190,8,7,9
190,191,8,7,10
191,192,5,5,7
192,193,5,5,7
193,194,5,5,7
194,195,7,4,9
195,196,7,10,9
196,197,5,4,5
197,198,8,7,9
198,199,5,5,5
199,200,5,7,5
200,201,10,6,7
201,202,7,7,6
202,203,,4,6
203,204,7,1,5
204,205,5,,5
205,206,5,4,4
206,207,4,3,5
207,208,,,5
208,209,,5,4
209,210,5,5,7
210,211,5,5,7
211,212,7,5,5
212,213,7,5,7
213,214,7,5,7
214,215,5,5,7
215,216,6,4,7
216,217,6,5,4
217,218,5,5,7
218,219,4,5,10
219,220,5,5,10
220,221,,,5
221,222,,3,3
222,223,,,5
223,224,,3,5
224,225,,3,5
225,226,1,3,6
226,227,3,3,5
227,228,6,5,3
228,229,3,2,5
229,230,2,5,6
230,231,7,,5
231,232,6,4,6
232,233,6,4,5
233,234,3,3,5
234,235,5,5,6
235,236,5,3,6
236,237,2,4,5
237,238,5,3,5
238,239,4,4,4
239,240,2,2,5
240,241,4,4,5
241,242,5,5,5
242,243,5,5,5
243,244,2,7,5
244,245,5,6,6
245,246,5,5,8
246,247,2,6,10
247,248,2,7,6
248,249,5,5,8
249,250,2,5,5
250,251,4,4,6
251,252,,4,5
252,253,5,2,4
253,254,2,4,5
254,255,2,4,5
255,256,3,4,6
256,257,3,4,5
257,258,5,6,6
258,259,5,5,5
259,260,9,5,7
260,261,2,5,7
261,262,,5,5
262,263,5,5,5
263,264,4,4,7
264,265,,5,7
265,266,6,5,5
266,267,5,2,5
267,268,6,5,6
268,269,9,5,7
269,270,7,5,5
270,271,7,5,10
271,272,5,5,7
272,273,5,5,6
273,274,9,6,6
274,275,9,6,6
275,276,6,5,5
276,277,6,7,5
277,278,4,5,6
278,279,6,5,5
279,280,5,6,9
280,281,6,6,9
281,282,6,6,7
282,283,5,2,5
283,284,4,2,5
284,285,5,2,5
285,286,5,,7
286,287,2,4,5
287,288,3,4,5
288,289,2,4,5
289,290,2,1,4
290,291,,4,5
291,292,5,5,10
292,293,5,5,6
293,294,9,5,5
294,295,5,5,4
295,296,,,5
296,297,,5,5
297,298,5,1,7
298,299,5,1,4
299,300,1,1,5
300,301,,1,5
301,302,,1,5
302,303,,1,5
303,304,,1,4
304,305,,1,5
305,306,4,4,6
306,307,5,,5
307,308,5,5,5
308,309,5,5,6
309,310,2,5,5
310,311,5,,5
311,312,4,,7
312,313,4,4,4
313,314,,,6
314,315,4,,5
315,316,5,5,5
316,317,9,5,7
317,318,5,5,5
318,319,,,9
319,320,4,5,5
320,321,5,4,7
321,322,5,4,7
322,323,5,6,5
323,324,5,5,3
324,325,5,5,6
325,326,10,7,6
326,327,7,6,7
327,328,,5,4
328,329,,5,2
329,330,1,1,3
330,331,,1,5
331,332,1,1,5
