,C0000100,C0000200,Y1211300,HGC_ya
0,201,2,10,7
1,202,2,-7,
2,301,3,6,4
3,302,3,6,4
4,303,3,6,4
5,401,4,2,2
6,403,4,-7,
7,801,8,7,5
8,802,8,6,4
9,803,8,7,5
10,1001,10,8,5
11,1002,10,-7,
12,1201,12,-7,
13,1202,12,-7,
14,1601,16,3,3
15,1602,16,5,3
16,1603,16,3,3
17,1901,19,3,3
18,2001,20,10,7
19,2501,25,8,5
20,2502,25,8,5
21,2701,27,10,7
22,2702,27,8,5
23,3001,30,8,5
24,3002,30,3,3
25,3003,30,6,4
26,3501,35,-7,
27,3502,35,-7,
28,3701,37,3,3
29,4301,43,6,4
30,4302,43,2,2
31,4303,43,6,4
32,4304,43,2,2
33,4401,44,6,4
34,4402,44,7,5
35,4601,46,-7,
36,4602,46,-7,
37,4901,49,8,5
38,4902,49,6,4
39,5001,50,2,2
40,5002,50,3,3
41,5003,50,-7,
42,5004,50,-7,
43,5005,50,6,4
44,5701,57,3,3
45,5702,57,6,4
46,5703,57,7,5
47,5801,58,10,7
48,5802,58,14,7
49,5803,58,6,4
50,6101,61,8,5
51,6102,61,9,6
52,6103,61,2,2
53,6201,62,6,4
54,6202,62,6,4
55,6203,62,4,2
56,6801,68,8,5
57,6802,68,8,5
58,6803,68,8,5
59,7501,75,-7,
60,7502,75,-7,
61,7801,78,8,5
62,7802,78,-7,
63,7803,78,6,4
64,7804,78,-7,
65,8601,86,6,4
66,8901,89,6,4
67,9101,91,7,5
68,9102,91,8,5
69,9201,92,4,2
70,9202,92,8,5
71,9501,95,6,4
72,9502,95,6,4
73,9503,95,8,5
74,9601,96,8,5
75,9602,96,10,7
76,9603,96,8,5
77,9701,97,7,5
78,9702,97,7,5
79,9801,98,10,7
80,9802,98,8,5
81,9803,98,8,5
82,9901,99,6,4
83,9902,99,6,4
84,10001,100,3,3
85,10002,100,1,1
86,10003,100,7,5
87,10201,102,8,5
88,11101,111,3,3
89,11102,111,3,3
90,11103,111,3,3
91,11201,112,3,3
92,11202,112,8,5
93,11501,115,-7,
94,11502,115,-7,
95,11503,115,-7,
96,11504,115,-7,
97,11801,118,-7,
98,11802,118,3,3
99,12101,121,8,5
100,12401,124,10,7
101,12402,124,8,5
102,12801,128,3,3
103,12802,128,6,4
104,13301,133,3,3
105,13701,137,8,5
106,13702,137,10,7
107,13801,138,8,5
108,13802,138,14,7
109,13803,138,8,5
110,14001,140,3,3
111,14301,143,-7,
112,14302,143,2,2
113,14303,143,6,4
114,14304,143,3,3
115,14401,144,8,5
116,14402,144,5,3
117,14403,144,10,7
118,14701,147,8,5
119,14702,147,12,9
120,14901,149,8,5
121,14902,149,8,5
122,15301,153,6,4
123,15302,153,5,3
124,15701,157,6,4
125,15702,157,10,7
126,15801,158,-7,
127,15802,158,-7,
128,15901,159,10,7
129,15902,159,11,8
130,15903,159,8,5
131,15904,159,8,5
132,15905,159,11,8
133,16001,160,6,4
134,16101,161,5,3
135,16102,161,6,4
136,16501,165,8,5
137,16502,165,6,4
138,16503,165,6,4
139,16701,167,3,3
140,16702,167,2,2
141,17201,172,8,5
142,17401,174,8,5
143,17402,174,6,4
144,17501,175,6,4
145,17502,175,6,4
146,17503,175,12,9
147,17504,175,8,5
148,17901,179,8,5
149,17902,179,6,4
150,18001,180,10,7
151,18002,180,10,7
152,18003,180,6,4
153,18301,183,3,3
154,18302,183,3,3
155,18303,183,6,4
156,18401,184,6,4
157,18601,186,8,5
158,18801,188,6,4
159,19001,190,8,5
160,19201,192,8,5
161,19202,192,8,5
162,19203,192,8,5
163,19701,197,6,4
164,19702,197,8,5
165,20001,200,10,7
166,20002,200,7,5
167,20301,203,-7,
168,20302,203,2,2
169,20401,204,-7,
170,20402,204,7,5
171,20501,205,7,5
172,20502,205,7,5
173,20503,205,6,4
174,20801,208,5,3
175,21101,211,8,5
176,21102,211,8,5
177,21103,211,6,4
178,21104,211,2,2
179,22101,221,3,3
180,22102,221,2,2
181,22103,221,3,3
182,22104,221,2,2
183,22401,224,3,3
184,22402,224,6,4
185,22403,224,2,2
186,22701,227,2,2
187,22702,227,3,3
188,22703,227,6,4
189,22704,227,3,3
190,22801,228,2,2
191,22802,228,5,3
192,22803,228,2,2
193,22804,228,4,2
194,22901,229,7,5
195,23101,231,11,8
196,23102,231,8,5
197,23601,236,8,5
198,23602,236,10,7
199,23603,236,3,3
200,23701,237,7,5
201,23901,239,2,2
202,23902,239,2,2
203,23903,239,6,4
204,24001,240,3,3
205,24002,240,7,5
206,24201,242,8,5
207,24401,244,8,5
208,24402,244,6,4
209,24403,244,8,5
210,24501,245,8,5
211,24502,245,8,5
212,24503,245,7,5
213,24901,249,3,3
214,24902,249,7,5
215,24903,249,6,4
216,24904,249,6,4
217,25001,250,6,4
218,25002,250,7,5
219,25201,252,7,5
220,25202,252,7,5
221,25401,254,2,2
222,25402,254,10,7
223,25403,254,3,3
224,25404,254,3,3
225,25405,254,8,5
226,25501,255,3,3
227,25502,255,7,5
228,25503,255,11,8
229,25504,255,10,7
230,25505,255,6,4
231,25601,256,10,7
232,25602,256,3,3
233,25801,258,3,3
234,25802,258,6,4
235,25803,258,3,3
236,26201,262,8,5
237,26202,262,-7,
238,26501,265,10,7
239,26502,265,12,9
240,26503,265,9,6
241,26504,265,2,2
242,27201,272,14,7
243,27202,272,12,9
244,27203,272,6,4
245,27204,272,2,2
246,27501,275,7,5
247,27502,275,6,4
248,27801,278,7,5
249,27802,278,6,4
250,27803,278,3,3
251,27804,278,-7,
252,28201,282,10,7
253,28202,282,10,7
254,28501,285,7,5
255,28502,285,5,3
256,28503,285,4,2
257,28701,287,6,4
258,28702,287,2,2
259,28801,288,8,5
260,28802,288,3,3
261,28803,288,3,3
262,28804,288,3,3
263,28805,288,2,2
264,28806,288,2,2
265,28901,289,7,5
266,28902,289,3,3
267,29001,290,5,3
268,29002,290,10,7
269,29201,292,8,5
270,29202,292,2,2
271,29301,293,8,5
272,29302,293,3,3
273,29401,294,10,7
274,29402,294,-7,
275,29403,294,-7,
276,29701,297,2,2
277,29702,297,3,3
278,29801,298,6,4
279,29802,298,-7,
280,30501,305,-7,
281,30502,305,-7,
282,31201,312,4,2
283,31202,312,7,5
284,31401,314,8,5
285,31402,314,7,5
286,31403,314,-7,
287,31404,314,6,4
288,31405,314,5,3
289,32101,321,8,5
290,32102,321,8,5
291,32103,321,-7,
292,32201,322,8,5
293,32202,322,8,5
294,32203,322,10,7
295,33301,333,8,5
296,33302,333,8,5
297,33501,335,6,4
298,33801,338,3,3
299,33802,338,-7,
300,33901,339,1,1
301,34001,340,3,3
302,34002,340,3,3
303,34003,340,3,3
304,34301,343,8,5
305,34401,344,2,2
306,34402,344,10,7
307,34501,345,-7,
308,34701,347,10,7
309,34702,347,8,5
310,35401,354,6,4
311,35402,354,8,5
312,36501,365,-7,
313,36502,365,-7,
314,36503,365,-7,
315,36504,365,-7,
316,36505,365,-7,
317,36901,369,10,7
318,36902,369,8,5
319,37101,371,3,3
320,37102,371,-7,
321,37103,371,8,5
322,37301,373,7,5
323,37302,373,3,3
324,37401,374,7,5
325,37402,374,7,5
326,37403,374,3,3
327,37901,379,2,2
328,37902,379,2,2
329,37903,379,2,2
330,38201,382,5,3
331,38202,382,6,4
332,38501,385,3,3
333,38502,385,3,3
334,38503,385,3,3
335,38801,388,7,5
336,38802,388,6,4
337,38803,388,3,3
338,38901,389,6,4
339,38902,389,-7,
340,39001,390,8,5
341,39002,390,8,5
342,39003,390,3,3
343,39004,390,2,2
344,39101,391,2,2
345,39102,391,7,5
346,39103,391,6,4
347,39501,395,6,4
348,39502,395,7,5
349,39701,397,6,4
350,39702,397,6,4
351,39703,397,2,2
352,39704,397,2,2
353,39901,399,5,3
354,40001,400,8,5
355,40101,401,6,4
356,40102,401,7,5
357,40201,402,2,2
358,40202,402,7,5
359,40203,402,3,3
360,40501,405,6,4
361,40502,405,6,4
362,40503,405,2,2
363,40701,407,8,5
364,40702,407,8,5
365,41401,414,14,7
366,41402,414,8,5
367,41601,416,8,5
368,41602,416,8,5
369,41603,416,10,7
370,41604,416,8,5
371,41801,418,3,3
372,42301,423,8,5
373,42302,423,8,5
374,42501,425,6,4
375,42502,425,6,4
376,42503,425,7,5
377,42504,425,6,4
378,42505,425,6,4
379,42701,427,3,3
380,42801,428,8,5
381,42802,428,6,4
382,43101,431,2,2
383,43102,431,6,4
384,43103,431,7,5
385,43701,437,6,4
386,43702,437,7,5
387,43703,437,6,4
388,43801,438,7,5
389,43901,439,8,5
390,43902,439,6,4
391,44201,442,6,4
392,44202,442,7,5
393,44203,442,7,5
394,44401,444,10,7
395,44402,444,8,5
396,44601,446,2,2
397,44602,446,3,3
398,44901,449,8,5
399,44902,449,3,3
400,45201,452,8,5
401,45202,452,8,5
402,45501,455,10,7
403,45502,455,14,7
404,45801,458,8,5
405,45901,459,10,7
406,45902,459,8,5
407,45903,459,8,5
408,46201,462,8,5
409,46501,465,2,2
410,46701,467,8,5
411,46702,467,6,4
412,47101,471,6,4
413,47102,471,4,2
414,47201,472,8,5
415,47401,474,2,2
416,47402,474,2,2
417,47403,474,2,2
418,47501,475,3,3
419,47601,476,6,4
420,47602,476,6,4
421,47801,478,3,3
422,47802,478,5,3
423,48501,485,-7,
424,48502,485,6,4
425,48503,485,6,4
426,49101,491,-7,
427,49102,491,-7,
428,49201,492,12,9
429,49202,492,8,5
430,49203,492,8,5
431,49401,494,-7,
432,49402,494,8,5
433,49501,495,6,4
434,49502,495,10,7
435,49901,499,8,5
436,50101,501,6,4
437,50102,501,6,4
438,50301,503,3,3
439,50302,503,7,5
440,50303,503,3,3
441,50401,504,-7,
442,50402,504,6,4
443,50403,504,3,3
444,50601,506,6,4
445,50701,507,2,2
446,50702,507,6,4
447,51401,514,6,4
448,51402,514,6,4
449,51403,514,3,3
450,51501,515,-7,
451,51502,515,-7,
452,51901,519,6,4
453,52201,522,3,3
454,52202,522,6,4
455,52501,525,6,4
456,52502,525,-7,
457,52801,528,6,4
458,52802,528,7,5
459,52901,529,6,4
460,52902,529,3,3
461,52903,529,3,3
462,53001,530,-7,
463,53002,530,2,2
464,53003,530,7,5
465,53201,532,-7,
466,53202,532,-7,
467,53301,533,6,4
468,53601,536,8,5
469,53602,536,5,3
