"C0000100","C0000200","Y1211300"
201,2,10
202,2,-7
301,3,6
302,3,6
303,3,6
401,4,2
403,4,-7
801,8,7
802,8,6
803,8,7
1001,10,8
1002,10,-7
1201,12,-7
1202,12,-7
1601,16,3
1602,16,5
1603,16,3
1901,19,3
2001,20,10
2501,25,8
2502,25,8
2701,27,10
2702,27,8
3001,30,8
3002,30,3
3003,30,6
3501,35,-7
3502,35,-7
3701,37,3
4301,43,6
4302,43,2
4303,43,6
4304,43,2
4401,44,6
4402,44,7
4601,46,-7
4602,46,-7
4901,49,8
4902,49,6
5001,50,2
5002,50,3
5003,50,-7
5004,50,-7
5005,50,6
5701,57,3
5702,57,6
5703,57,7
5801,58,10
5802,58,14
5803,58,6
6101,61,8
6102,61,9
6103,61,2
6201,62,6
6202,62,6
6203,62,4
6801,68,8
6802,68,8
6803,68,8
7501,75,-7
7502,75,-7
7801,78,8
7802,78,-7
7803,78,6
7804,78,-7
8601,86,6
8901,89,6
9101,91,7
9102,91,8
9201,92,4
9202,92,8
9501,95,6
9502,95,6
9503,95,8
9601,96,8
9602,96,10
9603,96,8
9701,97,7
9702,97,7
9801,98,10
9802,98,8
9803,98,8
9901,99,6
9902,99,6
10001,100,3
10002,100,1
10003,100,7
10201,102,8
11101,111,3
11102,111,3
11103,111,3
11201,112,3
11202,112,8
11501,115,-7
11502,115,-7
11503,115,-7
11504,115,-7
11801,118,-7
11802,118,3
12101,121,8
12401,124,10
12402,124,8
12801,128,3
12802,128,6
13301,133,3
13701,137,8
13702,137,10
13801,138,8
13802,138,14
13803,138,8
14001,140,3
14301,143,-7
14302,143,2
14303,143,6
14304,143,3
14401,144,8
14402,144,5
14403,144,10
14701,147,8
14702,147,12
14901,149,8
14902,149,8
15301,153,6
15302,153,5
15701,157,6
15702,157,10
15801,158,-7
15802,158,-7
15901,159,10
15902,159,11
15903,159,8
15904,159,8
15905,159,11
16001,160,6
16101,161,5
16102,161,6
16501,165,8
16502,165,6
16503,165,6
16701,167,3
16702,167,2
17201,172,8
17401,174,8
17402,174,6
17501,175,6
17502,175,6
17503,175,12
17504,175,8
17901,179,8
17902,179,6
18001,180,10
18002,180,10
18003,180,6
18301,183,3
18302,183,3
18303,183,6
18401,184,6
18601,186,8
18801,188,6
19001,190,8
19201,192,8
19202,192,8
19203,192,8
19701,197,6
19702,197,8
20001,200,10
20002,200,7
20301,203,-7
20302,203,2
20401,204,-7
20402,204,7
20501,205,7
20502,205,7
20503,205,6
20801,208,5
21101,211,8
21102,211,8
21103,211,6
21104,211,2
22101,221,3
22102,221,2
22103,221,3
22104,221,2
22401,224,3
22402,224,6
22403,224,2
22701,227,2
22702,227,3
22703,227,6
22704,227,3
22801,228,2
22802,228,5
22803,228,2
22804,228,4
22901,229,7
23101,231,11
23102,231,8
23601,236,8
23602,236,10
23603,236,3
23701,237,7
23901,239,2
23902,239,2
23903,239,6
24001,240,3
24002,240,7
24201,242,8
24401,244,8
24402,244,6
24403,244,8
24501,245,8
24502,245,8
24503,245,7
24901,249,3
24902,249,7
24903,249,6
24904,249,6
25001,250,6
25002,250,7
25201,252,7
25202,252,7
25401,254,2
25402,254,10
25403,254,3
25404,254,3
25405,254,8
25501,255,3
25502,255,7
25503,255,11
25504,255,10
25505,255,6
25601,256,10
25602,256,3
25801,258,3
25802,258,6
25803,258,3
26201,262,8
26202,262,-7
26501,265,10
26502,265,12
26503,265,9
26504,265,2
27201,272,14
27202,272,12
27203,272,6
27204,272,2
27501,275,7
27502,275,6
27801,278,7
27802,278,6
27803,278,3
27804,278,-7
28201,282,10
