,C0000100,C0000200,C0005700,m_age_ya,m_HGC_ya,dad_distance_ya,HGC_ya
0,201,2,1993,34,6,0,7
1,202,2,1994,35,6,0,
2,301,3,1981,19,6,0,4
3,302,3,1983,22,6,0,4
4,303,3,1986,24,6,0,4
5,401,4,1980,18,6,5,2
6,403,4,1997,34,6,0,
7,801,8,1976,17,6,5,5
8,802,8,1979,20,6,5,4
9,803,8,1982,24,6,5,5
10,1001,10,1983,22,3,0,5
11,1002,10,1988,27,3,0,
12,1201,12,1989,30,7,0,
13,1202,12,1993,33,7,0,
14,1601,16,1990,31,6,5,3
15,1602,16,1993,34,6,5,3
16,1603,16,1996,37,6,5,3
17,1901,19,1987,29,5,5,3
18,2001,20,1990,30,8,0,7
19,2501,25,1990,30,6,0,5
20,2502,25,1993,33,6,0,5
21,2701,27,1988,27,7,0,7
22,2702,27,1992,31,7,55,5
23,3001,30,1982,24,6,,5
24,3002,30,1987,28,6,,3
25,3003,30,1991,32,6,0,4
26,3501,35,1990,26,6,0,
27,3502,35,1993,29,6,0,
28,3701,37,1990,31,5,0,3
29,4301,43,1982,21,5,5,4
30,4302,43,1989,27,5,5,2
31,4303,43,1997,35,5,5,4
32,4304,43,2000,38,5,5,2
33,4401,44,1981,20,5,0,4
34,4402,44,1985,24,5,0,5
35,4601,46,1994,31,10,0,
36,4602,46,1997,34,10,0,
37,4901,49,1982,24,6,0,5
38,4902,49,1987,28,6,0,4
39,5001,50,1985,26,5,55,2
40,5002,50,1988,29,5,0,3
41,5003,50,1990,31,5,0,
42,5004,50,1990,31,5,0,
43,5005,50,1992,34,5,0,4
44,5701,57,1979,21,5,55,3
45,5702,57,1995,37,5,55,4
46,5703,57,1998,39,5,55,5
47,5801,58,1981,24,8,0,7
48,5802,58,1984,27,8,0,7
49,5803,58,1988,31,8,0,4
50,6101,61,1993,30,6,0,5
51,6102,61,1994,31,6,0,6
52,6103,61,2003,40,6,0,2
53,6201,62,1996,32,7,5,4
54,6202,62,1998,34,7,5,4
55,6203,62,2001,37,7,5,2
56,6801,68,1993,31,9,0,5
57,6802,68,1995,33,9,0,5
58,6803,68,1996,34,9,0,5
59,7501,75,1994,31,7,0,
60,7502,75,1996,34,7,0,
61,7801,78,1989,31,7,0,5
62,7802,78,1992,34,7,55,
63,7803,78,1996,39,7,5,4
64,7804,78,2000,42,7,5,
65,8601,86,1977,17,4,55,4
66,8901,89,1986,27,7,0,4
67,9101,91,1994,30,7,,5
68,9102,91,1996,33,7,0,5
69,9201,92,1982,20,5,55,2
70,9202,92,1992,29,5,55,5
71,9501,95,1985,25,5,5,4
72,9502,95,1987,26,5,5,4
73,9503,95,1988,28,5,5,5
74,9601,96,1980,19,5,5,5
75,9602,96,1986,25,5,5,7
76,9603,96,1998,36,5,5,5
77,9701,97,1987,29,6,5,5
78,9702,97,1989,31,6,5,5
79,9801,98,1987,30,6,0,7
80,9802,98,1990,33,6,0,5
81,9803,98,1994,37,6,0,5
82,9901,99,1987,29,6,55,4
83,9902,99,1993,35,6,55,4
84,10001,100,1985,21,6,55,3
85,10002,100,1991,27,6,5,1
86,10003,100,1993,29,6,55,5
87,10201,102,1992,27,7,0,5
88,11101,111,1982,22,5,0,3
89,11102,111,1983,24,5,0,3
90,11103,111,1987,27,5,0,3
91,11201,112,1982,18,5,5,3
92,11202,112,1997,33,5,0,5
93,11501,115,1993,32,7,0,
94,11502,115,1994,33,7,0,
95,11503,115,1996,35,7,0,
96,11504,115,1997,36,7,0,
97,11801,118,1981,20,3,0,
98,11802,118,1991,29,3,0,3
99,12101,121,1992,28,8,5,5
100,12401,124,1988,27,6,0,7
101,12402,124,1990,28,6,55,5
102,12801,128,1982,24,6,0,3
103,12802,128,1986,27,6,0,4
104,13301,133,1992,29,6,55,3
105,13701,137,1988,26,7,0,5
106,13702,137,1991,29,7,0,7
107,13801,138,1989,26,7,0,5
108,13802,138,1991,28,7,0,7
109,13803,138,1993,30,7,0,5
110,14001,140,1993,34,9,0,3
111,14301,143,1985,24,7,0,
112,14302,143,1988,26,7,55,2
113,14303,143,1990,29,7,0,4
114,14304,143,1990,29,7,0,3
115,14401,144,1992,28,5,0,5
116,14402,144,1994,30,5,55,3
117,14403,144,1997,32,5,0,7
118,14701,147,1987,26,6,0,5
119,14702,147,1990,28,6,0,9
120,14901,149,1991,27,5,0,5
121,14902,149,1993,29,5,0,5
122,15301,153,1985,22,5,5,4
123,15302,153,1986,23,5,55,3
124,15701,157,1985,22,10,5,4
125,15702,157,1987,25,10,5,7
126,15801,158,1985,26,9,5,
127,15802,158,1988,30,9,5,
128,15901,159,1985,25,7,0,7
129,15902,159,1987,27,7,0,8
130,15903,159,1990,29,7,0,5
131,15904,159,1993,32,7,0,5
132,15905,159,1993,32,7,0,8
133,16001,160,1990,30,6,5,4
134,16101,161,1994,33,5,55,3
135,16102,161,1996,35,5,55,4
136,16501,165,1988,27,5,0,5
137,16502,165,1992,31,5,0,4
138,16503,165,1998,37,5,5,4
139,16701,167,1985,24,5,5,3
140,16702,167,1987,27,5,5,2
141,17201,172,1993,35,3,5,5
142,17401,174,1985,25,6,0,5
143,17402,174,1990,29,6,0,4
144,17501,175,1982,24,,5,4
145,17502,175,1983,26,,0,4
146,17503,175,1986,28,,0,9
147,17504,175,1992,34,,0,5
148,17901,179,1981,22,5,5,5
149,17902,179,1983,25,5,5,4
150,18001,180,1978,21,7,55,7
151,18002,180,1982,24,7,55,7
152,18003,180,1984,27,7,0,4
153,18301,183,1984,26,5,0,3
154,18302,183,1987,29,5,0,3
155,18303,183,1991,32,5,0,4
156,18401,184,1999,38,7,0,4
157,18601,186,1991,31,9,55,5
158,18801,188,1985,26,5,55,4
159,19001,190,1995,33,9,5,5
160,19201,192,1991,27,7,0,5
161,19202,192,1994,31,7,0,5
162,19203,192,1998,35,7,0,5
163,19701,197,1989,27,5,5,4
164,19702,197,1990,28,5,5,5
165,20001,200,1983,24,5,5,7
166,20002,200,1987,29,5,5,5
167,20301,203,1986,28,6,5,
168,20302,203,1990,32,6,5,2
169,20401,204,1975,18,5,5,
170,20402,204,1984,27,5,5,5
171,20501,205,1978,21,5,0,5
172,20502,205,1981,24,5,0,5
173,20503,205,1986,29,5,0,4
174,20801,208,1975,17,5,5,3
175,21101,211,1996,32,7,0,5
176,21102,211,1997,33,7,0,5
177,21103,211,1999,35,7,0,4
178,21104,211,2003,39,7,0,2
179,22101,221,1986,21,4,5,3
180,22102,221,1987,23,4,5,2
181,22103,221,1989,24,4,5,3
182,22104,221,1991,26,4,5,2
183,22401,224,1974,14,5,55,3
184,22402,224,1977,17,5,5,4
185,22403,224,1979,18,5,100,2
186,22701,227,1975,17,5,55,2
187,22702,227,1977,19,5,55,3
188,22703,227,1985,27,5,5,4
189,22704,227,1994,36,5,5,3
