"C0000100","C0000200","C0005700","C0007000","C0053500","C0054100","C0055100","C0057500","C0058100","C0058700","C0059300","C0059900","C0060500","C0061100","C0061106","C0061112","C0061114","C0061116","C0061118","C0061120","C0061122","C0061124","C0061126","C0061128","C0061130","C0061132","C3602400","C3982400","C5526200","C5802500"
201,2,1993,34,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13
202,2,1994,35,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13
301,3,1981,19,10,10,-7,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,-7,13,12,-7,12,12
302,3,1983,22,10,10,-7,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,-7,13,12,-7,12,12
303,3,1986,24,10,10,-7,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,-7,13,12,-7,12,12
401,4,1980,18,9,-7,9,9,9,13,13,14,14,14,14,14,-7,14,14,-7,14,14,-7,-7,-7,-7,-7,-7,-7,-7
403,4,1997,34,9,-7,9,9,9,13,13,14,14,14,14,14,-7,14,14,-7,14,14,-7,-7,-7,-7,-7,-7,-7,-7
801,8,1976,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,14,14,14,14,14,14,14
802,8,1979,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,14,14,14,14,14,14,14
803,8,1982,24,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,14,14,14,14,14,14,14
1001,10,1983,22,9,9,9,9,9,9,9,-7,-7,9,-7,9,9,9,9,9,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1002,10,1988,27,9,9,9,9,9,9,9,-7,-7,9,-7,9,9,9,9,9,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1201,12,1989,30,13,14,15,16,16,16,16,-7,-7,-7,-7,-7,-7,-7,16,16,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1202,12,1993,33,13,14,15,16,16,16,16,-7,-7,-7,-7,-7,-7,-7,16,16,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
1601,16,1990,31,12,12,12,12,12,13,13,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
1602,16,1993,34,12,12,12,12,12,13,13,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
1603,16,1996,37,12,12,12,12,12,13,13,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
1901,19,1987,29,12,12,12,12,-7,12,12,12,12,12,12,12,12,12,12,12,-7,12,-7,-7,-7,12,-7,12,-7,-7
2001,20,1990,30,13,14,15,14,17,16,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,-7,17,17
2501,25,1990,30,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
2502,25,1993,33,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
2701,27,1988,27,12,13,13,13,13,13,13,13,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2702,27,1992,31,12,13,13,13,13,13,13,13,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
3001,30,1982,24,12,12,12,12,-7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14
3002,30,1987,28,12,12,12,12,-7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14
3003,30,1991,32,12,12,12,12,-7,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14
3501,35,1990,26,9,10,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,-7,-7,-7,-7,-7,-7,-7,-7
3502,35,1993,29,9,10,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,-7,-7,-7,-7,-7,-7,-7,-7
3701,37,1990,31,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
4301,43,1982,21,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
4302,43,1989,27,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
4303,43,1997,35,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
4304,43,2000,38,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
4401,44,1981,20,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-7,12,12,12,12,12,12,12,12,12,12
4402,44,1985,24,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-7,12,12,12,12,12,12,12,12,12,12
4601,46,1994,31,9,10,11,12,13,14,15,16,16,16,17,17,18,19,19,19,19,19,19,19,19,19,16,-7,-7,-7
4602,46,1997,34,9,10,11,12,13,14,15,16,16,16,17,17,18,19,19,19,19,19,19,19,19,19,16,-7,-7,-7
4901,49,1982,24,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
4902,49,1987,28,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
5001,50,1985,26,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
5002,50,1988,29,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
5003,50,1990,31,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
5004,50,1990,31,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
5005,50,1992,34,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
5701,57,1979,21,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
5702,57,1995,37,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
5703,57,1998,39,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
5801,58,1981,24,15,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,-7,17,17,17,17,17,17
5802,58,1984,27,15,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,-7,17,17,17,17,17,17
5803,58,1988,31,15,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,-7,17,17,17,17,17,17
6101,61,1993,30,10,11,12,12,12,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
6102,61,1994,31,10,11,12,12,12,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
6103,61,2003,40,10,11,12,12,12,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
6201,62,1996,32,8,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,12,13,14,16
6202,62,1998,34,8,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,12,13,14,16
6203,62,2001,37,8,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,12,13,14,16
6801,68,1993,31,10,11,12,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,16,16,16
6802,68,1995,33,10,11,12,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,16,16,16
6803,68,1996,34,10,11,12,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,16,16,16
7501,75,1994,31,10,11,12,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
7502,75,1996,34,10,11,12,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
7801,78,1989,31,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,-7,16,16,-7,-7,-7,-7
7802,78,1992,34,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,-7,16,16,-7,-7,-7,-7
7803,78,1996,39,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,-7,16,16,-7,-7,-7,-7
7804,78,2000,42,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,-7,16,16,-7,-7,-7,-7
8601,86,1977,17,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,11,11,11
8901,89,1986,27,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,-7,-7,-7
9101,91,1994,30,8,9,10,11,12,13,14,15,16,16,16,16,16,16,16,16,16,16,-7,16,16,16,16,16,16,16
9102,91,1996,33,8,9,10,11,12,13,14,15,16,16,16,16,16,16,16,16,16,16,-7,16,16,16,16,16,16,16
9201,92,1982,20,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
9202,92,1992,29,9,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
9501,95,1985,25,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
9502,95,1987,26,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
9503,95,1988,28,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
9601,96,1980,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12
9602,96,1986,25,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12
9603,96,1998,36,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12
9701,97,1987,29,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14
9702,97,1989,31,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14
