,Unnamed: 0,C0000100,C0000200,C0005700,m_age_ya,m_HGC_ya,dad_distance_ya,HGC_ya,R0000100,dad_age,mom_age,f_HGC,m_HGC,HGC,reside_parent_type,age_stopped_living_w_parent,urban_at_14,rural_at_14,farm_at_14,AFQT,desire_child_#,ever_married,married_age,1st_marry_age,abort_#,foreign_lang_child,female_work_14,male_work_14,mother_work_1978,father_work_1978,#sibling,#sibling_school,cultural_influence,income_18,income_19,income_20,income_21,income_22,income_23,income_24,income_25,income_26,income_27,income_28,income_29,income_30,income_31,income_32,income_33,income_34,income_35,income_36,income_37,income_38,income_39,income_40,income_41,income_42,income_43,income_44,income_45,income_46,income_47,income_48,income_49,income_50,income_51,income_52,income_53,income_54,income_55,income_56,income_57,income_58,income_59,income_60,income_61,income_62,teen_mom,teen_dad,teen_mom_not_teen_dad,teen_dad_not_teen_mom,teen_dad_and_teen_mom
0,0,201,2,1993,34,6,0,7,2,41,39,2,1,5,1,18,1,0,0,6.841,3,1,33,33,0,1,0,1,3,,8,2,1,,13370.80225,15022.76955,15876.22206,23981.90816,24856.06735,25177.09086,23089.46414,28380.32538,31830.49951,38381.60616,35033.93277,35179.69884,33377.97053,35224.0421,38850.60577,,,,,,,,,,,,,6141.097931,,5258.342782,,6098.402607,,18418.55538,,19656.69141,,21159.98641,,22239.70613,,25587.62067,,,0,0,0,0,0
1,1,202,2,1994,35,6,0,,2,41,39,2,1,5,1,18,1,0,0,6.841,3,1,33,33,0,1,0,1,3,,8,2,1,,13370.80225,15022.76955,15876.22206,23981.90816,24856.06735,25177.09086,23089.46414,28380.32538,31830.49951,38381.60616,35033.93277,35179.69884,33377.97053,35224.0421,38850.60577,,,,,,,,,,,,,6141.097931,,5258.342782,,6098.402607,,18418.55538,,19656.69141,,21159.98641,,22239.70613,,25587.62067,,,0,0,0,0,0
2,2,301,3,1981,19,6,0,4,3,23,22,5,4,5,2,6,1,0,0,49.444,4,1,19,19,1,0,1,1,1,2,3,2,1,21031.87737,,16787.33571,,,2728.754853,,2984.109329,1919.080308,,10553.90965,6675.594107,6404.371291,9324.145386,,,60100.60812,,950.9221264,,,,,,,,,,31550.05669,,,,33928.91781,,37441.31697,,26679.98286,,71167.05962,,76762.862,,,,,0,0,0,0,0
3,3,302,3,1983,22,6,0,4,3,23,22,5,4,5,2,6,1,0,0,49.444,4,1,19,19,1,0,1,1,1,2,3,2,1,21031.87737,,16787.33571,,,2728.754853,,2984.109329,1919.080308,,10553.90965,6675.594107,6404.371291,9324.145386,,,60100.60812,,950.9221264,,,,,,,,,,31550.05669,,,,33928.91781,,37441.31697,,26679.98286,,71167.05962,,76762.862,,,,,0,0,0,0,0
4,4,303,3,1986,24,6,0,4,3,23,22,5,4,5,2,6,1,0,0,49.444,4,1,19,19,1,0,1,1,1,2,3,2,1,21031.87737,,16787.33571,,,2728.754853,,2984.109329,1919.080308,,10553.90965,6675.594107,6404.371291,9324.145386,,,60100.60812,,950.9221264,,,,,,,,,,31550.05669,,,,33928.91781,,37441.31697,,26679.98286,,71167.05962,,76762.862,,,,,0,0,0,0,0
5,5,401,4,1980,18,6,5,2,4,24,23,5,4,6,1,18,1,0,0,55.761,1,1,18,18,0,0,1,1,1,2,3,1,0.666666667,,2604.435227,158.1749741,,,14190.16269,34814.60884,40914.79217,40123.07248,,,48833.33109,51282.79962,,,50083.8401,,17659.98235,,,,,,,,,,,,,,,,,,67159.95686,,,,1705.841378,,,,,,0,0,0,0,0
6,6,403,4,1997,34,6,0,,4,24,23,5,4,6,1,18,1,0,0,55.761,1,1,18,18,0,0,1,1,1,2,3,1,0.666666667,,2604.435227,158.1749741,,,14190.16269,34814.60884,40914.79217,40123.07248,,,48833.33109,51282.79962,,,50083.8401,,17659.98235,,,,,,,,,,,,,,,,,,67159.95686,,,,1705.841378,,,,,,0,0,0,0,0
7,7,801,8,1976,17,6,5,5,8,48,39,1,3,6,1,18,1,0,0,44.022,4,1,17,17,1,1,1,1,1,2,7,1,1,,,668.5401124,10515.93868,16209.62273,17986.43112,18077.13989,21893.12249,16792.33756,,17904.65597,8131.143265,28580.31358,29902.74402,29873.28363,28819.67081,27972.43616,30944.1321,,34343.20464,,29886.12397,,35868.05163,,38791.87641,,40301.99049,,40196.27736,,43118.41081,,42687.80185,,38775.90607,,43993.54744,,43239.97222,,45647.44163,,39234.35169,,0,0,0,0,0
8,8,802,8,1979,20,6,5,4,8,48,39,1,3,6,1,18,1,0,0,44.022,4,1,17,17,1,1,1,1,1,2,7,1,1,,,668.5401124,10515.93868,16209.62273,17986.43112,18077.13989,21893.12249,16792.33756,,17904.65597,8131.143265,28580.31358,29902.74402,29873.28363,28819.67081,27972.43616,30944.1321,,34343.20464,,29886.12397,,35868.05163,,38791.87641,,40301.99049,,40196.27736,,43118.41081,,42687.80185,,38775.90607,,43993.54744,,43239.97222,,45647.44163,,39234.35169,,0,0,0,0,0
9,9,803,8,1982,24,6,5,5,8,48,39,1,3,6,1,18,1,0,0,44.022,4,1,17,17,1,1,1,1,1,2,7,1,1,,,668.5401124,10515.93868,16209.62273,17986.43112,18077.13989,21893.12249,16792.33756,,17904.65597,8131.143265,28580.31358,29902.74402,29873.28363,28819.67081,27972.43616,30944.1321,,34343.20464,,29886.12397,,35868.05163,,38791.87641,,40301.99049,,40196.27736,,43118.41081,,42687.80185,,38775.90607,,43993.54744,,43239.97222,,45647.44163,,39234.35169,,0,0,0,0,0
