,Unnamed: 0,C0000100,C0000200,C0005700,m_age_ya,momexpectyos,cfemale1,m_HGC_ya,HGC_ya,piatreadingrecognition,piatreadingcomprehension,piatmathraw,dad_distance_ya,lnexpectedyos,numberofsiblings,behaveproblemindexpercentilescor,R0000100,dad_age,mom_age,f_HGC,m_HGC,HGC,reside_parent_type,age_stopped_living_w_parent,urban_at_14,rural_at_14,farm_at_14,phispanic,pblack,psex,pbizowner,phoursworked79,phoursworked2018,pjobnumberavg,AFQT,desire_child_#,ever_married,married_age,1st_marry_age,p1stbirthaftermarriage,abort_#,foreign_lang_child,pfamilyattitudetofemaleworkingla,female_work_14,male_work_14,mother_work_1978,father_work_1978,#sibling,#sibling_school,cultural_influence,mincome20_40,teen_mom,teen_dad,teen_mom_not_teen_dad,teen_dad_not_teen_mom,teen_dad_and_teen_mom
0,0.0,201.0,2.0,1993.0,34.0,5.0,1.0,6.0,7.0,52.0,42.0,55.0,0.0,1.609438,2.0,392.0,2.0,41.0,39.0,2.0,1.0,5.0,1.0,18.0,1.0,0.0,0.0,0,0,2,0,1820,1855,2.07143,6.841,3.0,1.0,33.0,33.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,,8.0,2.0,1.0,28875.87166,0.0,0.0,0.0,0.0,0.0
1,1.0,202.0,2.0,1994.0,35.0,4.0,1.0,6.0,,46.0,42.0,47.0,0.0,1.386294,2.0,624.0,2.0,41.0,39.0,2.0,1.0,5.0,1.0,18.0,1.0,0.0,0.0,0,0,2,0,1820,1855,2.07143,6.841,3.0,1.0,33.0,33.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,,8.0,2.0,1.0,28875.87166,0.0,0.0,0.0,0.0,0.0
2,2.0,301.0,3.0,1981.0,19.0,5.0,1.0,6.0,4.0,57.0,57.0,57.0,0.0,1.609438,1.0,683.0,3.0,23.0,22.0,5.0,4.0,5.0,2.0,6.0,1.0,0.0,0.0,0,0,2,0,1445,2630,10.48,49.444,4.0,1.0,19.0,19.0,1.0,1.0,0.0,,1.0,1.0,1.0,2.0,3.0,2.0,1.0,11842.88309,0.0,0.0,0.0,0.0,0.0
3,3.0,302.0,3.0,1983.0,22.0,5.0,1.0,6.0,4.0,58.0,49.0,40.0,0.0,1.609438,1.0,965.0,3.0,23.0,22.0,5.0,4.0,5.0,2.0,6.0,1.0,0.0,0.0,0,0,2,0,1445,2630,10.48,49.444,4.0,1.0,19.0,19.0,1.0,1.0,0.0,,1.0,1.0,1.0,2.0,3.0,2.0,1.0,11842.88309,0.0,0.0,0.0,0.0,0.0
4,4.0,303.0,3.0,1986.0,24.0,4.0,1.0,6.0,4.0,40.0,38.0,40.0,0.0,1.386294,1.0,852.0,3.0,23.0,22.0,5.0,4.0,5.0,2.0,6.0,1.0,0.0,0.0,0,0,2,0,1445,2630,10.48,49.444,4.0,1.0,19.0,19.0,1.0,1.0,0.0,,1.0,1.0,1.0,2.0,3.0,2.0,1.0,11842.88309,0.0,0.0,0.0,0.0,0.0
5,5.0,401.0,4.0,1980.0,18.0,,0.0,6.0,2.0,56.0,49.0,42.0,5.0,,2.0,621.0,4.0,24.0,23.0,5.0,4.0,6.0,1.0,18.0,1.0,0.0,0.0,0,0,2,1,0,3415,5.70588,55.761,1.0,1.0,18.0,18.0,1.0,0.0,0.0,,1.0,1.0,1.0,2.0,3.0,1.0,0.666666667,33117.8627,0.0,0.0,0.0,0.0,0.0
6,6.0,403.0,4.0,1997.0,34.0,,1.0,6.0,,,,,0.0,,2.0,,4.0,24.0,23.0,5.0,4.0,6.0,1.0,18.0,1.0,0.0,0.0,0,0,2,1,0,3415,5.70588,55.761,1.0,1.0,18.0,18.0,1.0,0.0,0.0,,1.0,1.0,1.0,2.0,3.0,1.0,0.666666667,33117.8627,0.0,0.0,0.0,0.0,0.0
7,7.0,801.0,8.0,1976.0,17.0,2.0,1.0,6.0,5.0,78.0,63.0,59.0,5.0,0.6931472,0.0,991.0,8.0,48.0,39.0,1.0,3.0,6.0,1.0,18.0,1.0,0.0,0.0,0,0,2,0,923,2500,7.57143,44.022,4.0,1.0,17.0,17.0,1.0,1.0,1.0,3.66667,1.0,1.0,1.0,2.0,7.0,1.0,1.0,21676.52004,0.0,0.0,0.0,0.0,0.0
8,8.0,802.0,8.0,1979.0,20.0,3.0,0.0,6.0,4.0,63.0,56.0,56.0,5.0,1.098612,0.0,951.0,8.0,48.0,39.0,1.0,3.0,6.0,1.0,18.0,1.0,0.0,0.0,0,0,2,0,923,2500,7.57143,44.022,4.0,1.0,17.0,17.0,1.0,1.0,1.0,3.66667,1.0,1.0,1.0,2.0,7.0,1.0,1.0,21676.52004,0.0,0.0,0.0,0.0,0.0
9,9.0,803.0,8.0,1982.0,24.0,3.0,1.0,6.0,5.0,81.0,51.0,55.0,5.0,1.098612,0.0,873.0,8.0,48.0,39.0,1.0,3.0,6.0,1.0,18.0,1.0,0.0,0.0,0,0,2,0,923,2500,7.57143,44.022,4.0,1.0,17.0,17.0,1.0,1.0,1.0,3.66667,1.0,1.0,1.0,2.0,7.0,1.0,1.0,21676.52004,0.0,0.0,0.0,0.0,0.0
