,urban_at_14,rural_at_14,farm_at_14,AFQT,desire_child_#,ever_married,married_age,1st_marry_age,abort_#
0,True,False,False,,,False,,,
1,True,False,False,6.841,3,True,33,33,0
2,True,False,False,49.444,4,True,19,19,1
3,True,False,False,55.761,1,True,18,18,0
4,True,False,False,96.772,2,True,25,25,
5,True,False,False,99.393,2,True,28,28,
6,True,False,False,47.412,2,True,,,
7,True,False,False,44.022,4,True,17,17,1
8,True,False,False,59.683,3,True,25,25,
9,True,False,False,30.039,2,True,21,21,0
10,True,False,False,85.34700000000001,0,False,,,
11,True,False,False,89.641,2,True,23,23,0
12,True,False,False,72.313,3,True,30,30,
13,True,False,False,98.798,4,True,26,26,1
14,True,False,False,82.26,2,True,29,29,
15,True,False,False,50.283,4,True,29,29,2
16,True,False,False,89.669,2,True,43,43,
17,True,False,False,95.977,3,True,21,21,
18,True,False,False,,2,True,21,21,1
19,True,False,False,67.021,2,True,28,28,0
20,True,False,False,88.416,3,True,31,31,0
21,True,False,False,89.167,4,True,24,24,0
22,True,False,False,83.214,0,False,,,
23,True,False,False,66.029,4,True,25,25,
24,True,False,False,51.39,2,True,27,27,1
25,True,False,False,97.075,5,True,25,25,
26,True,False,False,96.674,2,True,24,24,0
27,True,False,False,92.784,0,True,21,21,0
28,True,False,False,25.905,2,True,35,35,0
29,True,False,False,8.528,2,True,22,22,1
30,True,False,False,,2,True,20,20,
31,True,False,False,,4,True,31,31,0
32,True,False,False,,,False,,,
33,True,False,False,6.069,2,True,28,28,
34,False,True,False,53.046,2,True,22,22,0
35,False,True,False,,4,True,18,18,
36,True,False,False,56.29,1,True,23,23,0
37,True,False,False,12.788,4,True,25,25,0
38,True,False,False,26.851,2,True,33,33,
39,True,False,False,38.419000000000004,2,True,20,20,
40,True,False,False,57.095,3,True,37,37,
41,True,False,False,22.326,4,True,27,27,
42,True,False,False,15.325000000000001,2,True,35,35,0
43,True,False,False,37.061,2,True,19,19,0
44,True,False,False,50.629,3,True,26,26,
45,True,False,False,78.095,2,True,26,26,0
46,True,False,False,75.473,2,True,51,51,
47,True,False,False,24.806,2,True,22,22,
48,True,False,False,71.226,4,True,20,20,0
49,False,True,False,78.742,3,True,29,29,0
50,True,False,False,,,False,,,
51,False,True,False,69.08,7,True,20,20,
52,False,True,False,43.641,1,False,,,
53,True,False,False,,2,True,22,22,
54,False,True,False,,,False,,,
55,False,True,False,76.02,0,False,,,
56,False,True,False,30.830000000000002,3,True,19,19,0
57,True,False,False,91.625,2,True,22,22,0
58,True,False,False,98.84100000000001,3,True,26,26,
59,False,True,False,82.98,,True,30,30,
60,True,False,False,99.15,2,True,22,22,2
61,False,True,False,36.384,2,True,26,26,1
62,True,False,False,87.934,4,True,31,31,
63,True,False,False,92.989,4,False,,,
64,True,False,False,75.171,3,False,,,0
65,True,False,False,22.649,2,True,23,23,
66,True,False,False,93.246,3,True,35,35,
67,True,False,False,100.0,3,True,29,29,0
68,True,False,False,86.703,2,True,25,25,
69,True,False,False,,2,True,34,34,
70,True,False,False,98.077,4,True,25,25,
71,True,False,False,80.538,3,False,,,0
72,True,False,False,81.527,6,True,44,44,
73,True,False,False,95.536,2,False,,,4
74,True,False,False,83.379,4,True,29,29,0
75,True,False,False,42.78,2,True,,,
76,True,False,False,96.83500000000001,2,False,,,0
77,True,False,False,85.34700000000001,2,True,31,31,0
78,True,False,False,96.084,2,True,28,28,
79,True,False,False,78.759,2,False,,,
80,True,False,False,29.497,4,True,40,40,
81,True,False,False,2.168,,False,,,
82,True,False,False,2.366,4,False,,,
83,True,False,False,21.008,3,True,37,37,
84,True,False,False,2.427,1,False,,,
85,True,False,False,7.198,2,False,,,0
86,True,False,False,12.463000000000001,4,False,,,
87,True,False,False,80.798,2,True,,,
88,True,False,False,84.98,0,True,32,32,1
89,True,False,False,80.298,3,True,29,29,
90,True,False,False,22.823,0,True,21,21,0
91,True,False,False,44.375,2,True,23,23,0
92,True,False,False,28.438,2,True,21,21,
93,True,False,False,,2,True,28,28,
94,True,False,False,34.573,2,True,22,22,0
95,True,False,False,36.772,2,True,49,49,1
96,True,False,False,59.411,4,True,27,27,3
97,True,False,False,69.552,4,True,22,22,3
98,True,False,False,,2,True,22,22,0
99,True,False,False,40.421,2,True,26,26,1
100,True,False,False,87.368,2,True,24,24,
101,True,False,False,56.649,6,True,26,26,0
102,True,False,False,76.421,2,True,33,33,
103,True,False,False,48.175000000000004,1,False,,,0
104,True,False,False,81.787,2,True,26,26,1
105,True,False,False,87.651,0,True,33,33,
106,True,False,False,65.34700000000001,3,True,25,25,
107,True,False,False,96.818,2,True,33,33,
108,True,False,False,57.445,4,False,,,0
109,True,False,False,64.697,4,True,26,26,
110,True,False,False,46.195,2,True,20,20,1
111,True,False,False,39.529,2,True,18,18,0
112,True,False,False,64.537,2,False,,,
113,True,False,False,75.984,2,True,23,23,
114,True,False,False,85.492,3,True,29,29,1
115,True,False,False,62.654,10,False,,,0
116,True,False,False,98.349,2,True,22,22,
117,False,True,False,29.212,2,True,19,19,1
118,True,False,False,27.671,2,False,,,
119,False,True,False,97.84700000000001,2,False,,,
120,True,False,False,92.618,2,False,,,0
121,True,False,False,52.132,2,True,26,26,
122,True,False,False,92.20400000000001,2,True,22,22,
123,True,False,False,40.114000000000004,2,True,26,26,1
124,True,False,False,32.107,,False,,,
125,True,False,False,67.259,2,True,25,25,
126,True,False,False,36.287,4,False,,,
127,True,False,False,59.846000000000004,2,True,21,21,0
128,True,False,False,92.81700000000001,3,False,,,
129,False,True,False,,,False,,,
130,False,True,False,,,False,,,
131,False,True,False,,,False,,,
132,True,False,False,57.983000000000004,3,True,23,23,0
133,True,False,False,47.098,2,True,26,26,
134,True,False,False,38.315,0,True,25,25,
135,True,False,False,5.875,2,False,,,0
136,True,False,False,87.283,0,True,23,23,0
137,True,False,False,88.32600000000001,3,True,23,23,0
138,True,False,False,79.83200000000001,2,True,27,27,
139,False,True,False,72.878,2,True,21,21,0
140,True,False,False,85.861,3,True,48,48,0
141,False,True,False,,2,True,33,33,
142,True,False,False,59.838,2,True,18,18,0
143,True,False,False,37.874,2,True,24,24,0
144,True,False,False,62.607,0,False,,,
145,True,False,False,86.932,2,True,21,21,
146,False,True,False,22.466,2,True,22,22,0
147,True,False,False,74.997,2,True,54,54,
148,True,False,False,39.973,2,True,25,25,0
149,True,False,False,38.129,1,False,,,
150,True,False,False,28.478,2,True,27,27,1
151,True,False,False,93.33200000000001,2,True,22,22,0
152,True,False,False,,,True,,,
153,True,False,False,,,False,,,
154,True,False,False,47.003,4,True,19,19,
155,True,False,False,4.9750000000000005,2,True,22,22,
156,True,False,False,43.873,3,True,20,20,2
157,True,False,False,85.206,2,True,23,23,0
158,True,False,False,89.686,2,True,23,23,0
159,True,False,False,77.44,2,True,23,23,0
160,True,False,False,47.296,3,True,31,31,1
161,True,False,False,98.253,2,True,27,27,
162,True,False,False,86.427,0,True,25,25,
163,True,False,False,22.240000000000002,0,True,20,20,0
164,True,False,False,46.506,2,True,23,23,0
165,True,False,False,58.432,2,True,23,23,
166,True,False,False,33.598,10,True,26,26,0
167,True,False,False,19.981,,True,27,27,
168,True,False,False,18.862000000000002,,False,,,0
169,True,False,False,,2,False,,,0
170,True,False,False,82.20700000000001,3,True,25,25,
171,True,False,False,1.23,1,True,30,30,0
172,True,False,False,71.044,,True,23,23,
173,True,False,False,47.279,2,True,23,23,2
174,True,False,False,,8,True,24,24,3
175,True,False,False,82.495,4,False,,,5
176,True,False,False,51.881,3,True,26,26,
177,True,False,False,77.068,0,True,26,26,
178,True,False,False,30.455000000000002,2,True,21,21,0
179,True,False,False,88.334,4,True,20,20,0
180,True,False,False,,,True,25,25,
181,True,False,False,,,False,,,
182,True,False,False,49.623,2,True,24,24,1
183,True,False,False,59.078,2,True,34,34,0
184,True,False,False,77.155,4,False,,,
185,True,False,False,81.515,4,True,28,28,1
186,True,False,False,58.788000000000004,4,False,,,
187,True,False,False,11.983,2,True,24,24,0
188,True,False,False,59.286,3,True,56,56,
189,True,False,False,73.636,0,True,,,1
190,True,False,False,89.27,3,True,28,28,
191,True,False,False,80.48,3,True,23,23,0
192,True,False,False,45.527,2,True,26,26,
193,True,False,False,68.738,2,True,25,25,
194,True,False,False,87.917,2,True,32,32,
195,True,False,False,95.117,4,True,26,26,
196,True,False,False,17.107,2,True,25,25,0
197,True,False,False,64.239,2,True,28,28,
198,True,False,False,19.225,3,True,35,35,
199,True,False,False,27.551000000000002,1,True,20,20,0
200,True,False,False,86.60300000000001,2,True,27,27,
201,False,True,False,73.184,6,False,,,
202,False,True,False,13.97,4,True,26,26,1
203,True,False,False,17.136,,True,17,17,1
204,True,False,False,5.082,2,True,20,20,0
205,True,False,False,26.44,2,True,20,20,
206,True,False,False,25.802,0,True,24,24,
207,True,False,False,10.352,2,True,24,24,2
208,True,False,False,49.08,2,False,,,
209,True,False,False,59.04,2,True,25,25,
210,False,True,False,74.988,3,True,31,31,0
211,True,False,False,57.814,2,True,24,24,
212,True,False,False,99.46000000000001,3,False,,,
213,False,True,False,79.883,3,True,33,33,
214,True,False,False,66.226,2,True,23,23,
215,True,False,False,,,True,48,48,
216,True,False,False,,,False,,,
217,True,False,False,81.447,2,True,25,25,
218,True,False,False,60.012,3,True,39,39,0
219,True,False,False,89.381,0,True,38,38,1
220,True,False,False,5.315,0,False,,,1
221,True,False,False,0.787,1,False,,,
222,True,False,False,9.19,1,True,29,29,
223,True,False,False,13.326,3,False,,,4
224,True,False,False,2.604,2,False,,,
225,True,False,False,25.781,4,True,18,18,
226,True,False,False,6.599,3,True,24,24,0
227,True,False,False,2.739,4,True,21,21,2
228,True,False,False,52.042,4,True,18,18,0
229,False,True,False,34.084,3,False,,,
230,False,True,False,36.443,2,True,26,26,0
231,False,True,False,55.78,3,False,,,
232,True,False,False,31.472,2,True,20,20,
233,False,True,False,35.461,2,True,18,18,
234,False,True,False,61.313,3,True,22,22,
235,False,True,False,71.673,4,True,24,24,0
236,False,True,False,64.751,2,True,22,22,0
237,False,True,False,,,False,,,
238,False,True,False,13.294,1,True,34,34,0
