"R0000100","R0001800","R0618301","R0751200","R9908000","R9908600","R9910500"
1,1,-4,-5,0,-999,-4
2,1,6841,3,2,33,0
3,1,49444,4,3,19,1
4,1,55761,1,2,18,0
5,1,96772,2,1,25,-4
6,1,99393,2,3,28,-4
7,1,47412,2,2,-3,-4
8,1,44022,4,3,17,1
9,1,59683,3,2,25,-4
10,1,30039,2,2,21,0
11,1,85347,0,0,-999,-4
12,1,89641,2,2,23,0
13,1,72313,3,4,30,-4
14,1,98798,4,0,26,1
15,1,82260,2,4,29,-4
16,1,50283,4,3,29,2
17,1,89669,2,0,43,-4
18,1,95977,3,3,21,-4
19,1,-4,2,1,21,1
20,1,67021,2,1,28,0
21,1,88416,3,0,31,0
22,1,89167,4,0,24,0
23,1,83214,0,0,-999,-4
24,1,66029,4,2,25,-4
25,1,51390,2,2,27,1
26,1,97075,5,1,25,-4
27,1,96674,2,2,24,0
28,1,92784,0,0,21,0
29,1,25905,2,0,35,0
30,1,8528,2,3,22,1
31,1,-4,2,2,20,-4
32,1,-4,4,0,31,0
33,1,-5,-5,0,-999,-4
34,1,6069,2,4,28,-4
35,2,53046,2,2,22,0
36,2,-4,4,0,18,-4
37,1,56290,1,1,23,0
38,1,12788,4,0,25,0
39,1,26851,2,1,33,-4
40,1,38419,2,2,20,-4
41,1,57095,3,2,37,-4
42,1,22326,4,2,27,-4
43,1,15325,2,4,35,0
44,1,37061,2,2,19,0
45,1,50629,3,1,26,-4
46,1,78095,2,2,26,0
47,1,75473,2,0,51,-4
48,1,24806,2,2,22,-4
49,1,71226,4,2,20,0
50,2,78742,3,5,29,0
51,1,-5,-5,1,-999,-4
52,2,69080,7,2,20,-4
53,2,43641,1,0,-999,-4
54,1,-4,2,1,22,-4
55,2,-5,-5,0,-999,-4
56,2,76020,0,0,-999,-4
57,2,30830,3,3,19,0
58,1,91625,2,3,22,0
59,1,98841,3,0,26,-4
60,2,82980,-5,3,30,-4
61,1,99150,2,3,22,2
62,2,36384,2,3,26,1
63,1,87934,4,1,31,-4
64,1,92989,4,0,-999,-4
65,1,75171,3,0,-999,0
66,1,22649,2,2,23,-4
67,1,93246,3,2,35,-4
68,1,100000,3,3,29,0
69,1,86703,2,2,25,-4
70,1,-4,2,1,34,-4
71,1,98077,4,3,25,-4
72,1,80538,3,0,-999,0
73,1,81527,6,2,44,-4
74,1,95536,2,0,-999,4
75,1,83379,4,2,29,0
76,1,42780,2,2,-3,-4
77,1,96835,2,0,-999,0
78,1,85347,2,4,31,0
79,1,96084,2,3,28,-4
80,1,78759,2,0,-999,-4
