"R0000100","R0000500"
1,58
2,59
3,61
4,62
5,59
6,60
7,64
8,58
9,63
10,60
11,59
12,59
13,58
14,63
15,64
16,58
17,57
18,58
19,57
20,59
21,61
22,63
23,58
24,61
25,59
26,62
27,60
28,64
29,60
30,58
31,63
32,57
33,62
34,58
35,63
36,62
37,58
38,62
39,59
40,60
41,62
42,63
43,61
44,61
45,59
46,62
47,59
48,58
49,58
50,58
51,63
52,58
53,63
54,58
55,58
56,64
57,58
58,57
59,59
60,61
61,62
62,64
63,60
64,61
65,63
66,64
67,58
68,62
69,64
70,61
71,63
72,59
73,63
74,59
75,62
76,64
77,64
78,57
79,60
80,63
81,64
82,58
83,60
84,63
85,59
86,60
87,63
88,57
89,59
90,58
91,63
92,62
93,64
94,57
95,60
96,61
97,58
98,57
99,57
100,63
101,58
102,64
103,58
104,58
105,58
106,61
107,62
108,58
109,62
110,57
111,59
112,63
113,63
114,57
115,60
116,63
117,59
118,61
119,57
120,62
121,64
122,61
123,62
124,61
125,57
126,58
127,60
128,58
129,60
130,59
131,60
132,59
133,62
134,61
135,64
136,57
137,61
138,62
139,63
140,58
141,62
142,60
143,61
144,64
145,62
146,64
147,61
148,63
149,64
150,59
151,57
152,61
153,63
154,64
155,63
156,57
157,62
158,58
159,60
160,60
161,61
162,61
163,62
164,60
165,60
166,62
167,60
168,61
169,63
170,57
171,62
172,57
173,62
174,60
175,57
176,59
177,60
178,58
179,58
180,57
181,58
182,64
183,58
184,61
185,64
186,59
187,64
188,59
189,58
190,61
191,63
192,63
193,58
194,64
195,59
196,64
197,62
198,63
199,59
200,58
201,57
202,60
203,58
204,57
205,57
206,62
207,62
208,58
209,60
210,62
211,64
212,61
213,62
214,64
215,60
216,60
217,62
218,57
219,59
220,61
221,64
222,61
223,62
224,60
225,61
226,63
227,57
228,57
229,63
230,64
231,57
232,61
233,64
234,61
235,63
236,61
237,57
238,57
239,61
240,62
241,64
242,58
243,58
244,57
245,62
246,64
247,59
248,61
249,63
250,58
251,62
252,64
253,64
254,61
255,62
256,61
257,64
258,58
259,59
260,61
261,63
262,60
263,62
264,61
265,62
266,61
267,58
268,58
269,59
270,62
271,64
272,57
273,59
274,60
275,63
276,61
277,59
278,60
279,62
280,59
281,61
282,63
283,58
284,60
285,61
286,64
287,58
288,61
289,62
290,60
291,59
292,57
293,59
294,61
295,63
296,63
297,57
298,64
299,62
300,61
301,61
302,60
303,63
304,64
305,62
306,60
307,57
308,61
309,59
310,60
311,64
312,62
313,63
314,58
315,64
316,64
317,59
318,63
319,57
320,60
321,57
322,58
323,59
324,62
325,64
326,57
327,58
328,62
329,64
330,58
331,61
332,63
333,57
334,58
335,57
336,63
337,58
338,59
339,61
340,62
341,59
342,63
343,59
344,59
345,63
346,62
347,62
348,57
349,58
350,62
351,59
352,61
353,59
354,57
355,64
356,62
357,58
358,61
359,63
360,61
361,58
362,57
363,61
364,59
365,61
366,63
367,59
368,58
369,58
370,59
371,59
372,61
373,58
374,61
375,60
376,60
377,58
378,61
379,63
380,57
381,57
382,59
383,60
384,62
385,61
386,62
387,63
388,62
389,57
390,61
391,63
392,59
393,62
394,61
395,62
396,63
397,59
398,58
399,57
400,61
401,61
402,58
403,57
404,57
405,59
406,63
407,63
408,61
409,57
410,60
411,62
412,64
413,60
414,64
415,62
416,57
417,60
418,64
419,63
420,64
421,57
422,58
423,60
424,57
425,57
426,57
427,57
428,58
429,58
430,61
431,60
432,59
433,60
434,63
435,61
436,63
437,57
438,62
439,61
440,61
441,63
442,57
443,61
444,61
445,64
446,58
447,62
448,64
449,60
450,61
451,64
452,64
453,60
454,61
455,59
456,58
457,60
458,61
459,63
460,61
461,61
462,60
463,59
464,59
465,63
466,57
467,60
468,58
469,64
470,62
471,59
472,62
473,60
474,61
475,64
476,64
477,63
478,59
479,63
480,57
481,57
482,59
483,57
484,61
485,62
486,63
487,60
488,63
489,61
490,57
491,59
492,61
493,64
494,58
495,60
496,62
497,59
498,57
499,61
500,63
501,63
502,60
503,61
504,63
505,59
506,60
507,61
508,63
509,63
510,61
511,63
512,59
513,61
514,63
515,64
516,61
517,62
518,63
519,63
520,58
521,60
522,62
523,63
524,61
525,60
526,59
527,57
528,63
529,58
530,57
531,57
532,57
533,60
534,63
535,64
536,60
537,63
538,58
539,58
540,62
541,62
542,61
543,59
544,60
545,59
546,64
547,57
548,62
549,61
550,58
551,62
552,60
553,61
554,63
555,60
556,57
557,59
558,62
559,60
560,59
561,59
562,62
563,58
564,58
565,60
566,61
567,63
568,61
569,60
570,64
571,64
572,61
573,61
574,63
575,57
576,61
577,58
578,60
579,62
580,60
581,58
582,59
583,57
584,59
585,63
586,58
587,60
588,63
589,63
590,61
591,63
592,61
593,57
594,63
595,58
596,62
597,62
598,57
599,57
600,61
601,63
602,58
603,60
604,62
605,63
606,64
607,58
608,60
609,61
610,63
611,59
612,58
613,62
614,57
615,60
616,63
617,62
618,59
619,57
620,58
621,60
622,64
623,61
624,63
625,58
626,58
627,57
628,64
629,61
630,63
631,58
632,60
633,57
634,59
635,57
636,61
637,64
638,61
639,63
640,63
641,61
642,62
643,64
644,58
645,61
646,62
647,60
648,63
649,57
650,61
651,64
652,60
653,60
654,64
655,60
656,62
657,63
658,57
659,59
660,60
661,61
662,62
663,62
664,60
665,64
666,60
667,64
668,64
669,61
670,61
671,62
672,63
673,60
674,61
675,63
676,64
677,62
678,61
679,58
680,60
681,61
682,63
683,60
684,59
685,62
686,63
687,60
688,62
689,64
690,62
691,61
692,62
693,58
694,59
695,61
696,63
697,57
698,59
699,57
700,62
701,60
702,61
703,62
704,58
705,58
706,57
707,62
708,59
709,60
710,58
711,61
712,59
713,63
714,64
715,59
716,61
717,62
718,59
719,58
720,60
721,62
722,58
723,62
724,61
725,63
726,61
727,64
728,64
729,59
730,60
731,57
732,59
733,63
734,61
735,61
736,63
737,63
738,57
739,58
740,62
741,64
742,58
743,59
744,59
745,57
746,61
747,63
748,60
749,58
750,62
751,63
752,57
753,59
754,64
755,61
756,64
757,61
758,59
759,60
760,62
761,59
762,60
763,62
764,63
765,64
766,60
767,62
768,62
769,60
770,61
771,58
772,59
773,61
774,60
775,58
776,61
777,62
778,64
779,64
780,60
781,59
782,57
783,63
784,64
785,57
786,58
787,61
788,58
789,59
790,64
791,63
792,60
793,58
794,60
795,63
796,60
797,61
798,62
799,63
800,60
801,59
802,61
803,62
804,64
805,57
806,61
807,62
808,64
809,57
810,60
811,59
812,60
813,59
814,58
815,59
816,58
817,64
818,57
819,61
820,60
821,57
822,57
823,61
824,59
825,58
826,60
827,59
828,61
829,57
830,60
831,62
832,62
833,64
834,59
835,63
836,60
837,57
838,64
839,59
840,59
841,58
842,59
843,62
844,63
845,60
846,63
847,58
848,58
849,60
850,61
851,60
852,59
853,59
854,62
855,58
856,60
857,62
858,63
859,60
860,61
861,62
862,59
863,59
864,62
865,59
866,64
867,64
868,60
869,61
870,63
871,64
872,60
873,62
874,63
875,57
876,59
877,62
878,64
879,64
880,57
881,60
882,62
883,64
884,58
885,61
886,60
887,60
888,58
889,58
890,59
891,60
892,62
893,59
894,61
895,61
896,61
897,63
898,64
899,57
900,61
901,64
902,62
903,62
904,63
905,62
906,64
907,60
908,61
909,64
910,58
911,63
912,57
913,63
914,61
915,64
916,59
917,59
918,63
919,59
920,62
921,64
922,60
923,61
924,61
925,57
926,59
927,57
928,61
929,64
930,59
931,57
932,59
933,62
934,57
935,58
936,61
937,62
938,63
939,58
940,59
941,58
942,61
943,58
944,59
945,58
946,62
947,57
948,62
949,63
950,64
951,63
952,64
953,59
954,60
955,58
956,63
957,61
958,59
959,59
960,61
961,62
962,61
963,62
964,64
965,57
966,62
967,63
968,60
969,58
970,60
971,62
972,63
973,62
974,60
975,64
976,57
977,63
978,59
979,59
980,58
981,60
982,63
983,58
984,58
985,58
986,64
