C0000100,C0000200,dad_distance
201,2,0
202,2,0
301,3,0
302,3,0
303,3,0
401,4,5
403,4,0
801,8,5
802,8,5
803,8,5
1001,10,0
1002,10,0
1201,12,0
1202,12,0
1601,16,5
1602,16,5
1603,16,5
1901,19,5
2001,20,0
2501,25,0
2502,25,0
2701,27,0
2702,27,55
3001,30,
3002,30,
3003,30,0
3501,35,0
3502,35,0
3701,37,0
4301,43,5
4302,43,5
4303,43,5
4304,43,5
4401,44,0
4402,44,0
4601,46,0
4602,46,0
4901,49,0
4902,49,0
5001,50,55
5002,50,0
5003,50,0
5004,50,0
5005,50,0
5701,57,55
5702,57,55
5703,57,55
5801,58,0
5802,58,0
5803,58,0
6101,61,0
6102,61,0
6103,61,0
6201,62,5
6202,62,5
6203,62,5
6801,68,0
6802,68,0
6803,68,0
7501,75,0
7502,75,0
7801,78,0
7802,78,55
7803,78,5
7804,78,5
8601,86,55
8901,89,0
9101,91,
9102,91,0
9201,92,55
9202,92,55
9501,95,5
9502,95,5
9503,95,5
9601,96,5
9602,96,5
9603,96,5
9701,97,5
9702,97,5
9801,98,0
9802,98,0
9803,98,0
9901,99,55
9902,99,55
10001,100,55
10002,100,5
10003,100,55
10201,102,0
11101,111,0
11102,111,0
11103,111,0
11201,112,5
11202,112,0
11501,115,0
11502,115,0
11503,115,0
11504,115,0
11801,118,0
11802,118,0
12101,121,5
12401,124,0
12402,124,55
12801,128,0
12802,128,0
13301,133,55
13701,137,0
13702,137,0
13801,138,0
13802,138,0
13803,138,0
14001,140,0
14301,143,0
14302,143,55
14303,143,0
14304,143,0
14401,144,0
14402,144,55
14403,144,0
14701,147,0
14702,147,0
14901,149,0
14902,149,0
15301,153,5
15302,153,55
15701,157,5
15702,157,5
15801,158,5
15802,158,5
15901,159,0
15902,159,0
15903,159,0
15904,159,0
15905,159,0
16001,160,5
16101,161,55
16102,161,55
16501,165,0
16502,165,0
16503,165,5
16701,167,5
16702,167,5
17201,172,5
17401,174,0
17402,174,0
17501,175,5
17502,175,0
17503,175,0
17504,175,0
17901,179,5
17902,179,5
18001,180,55
18002,180,55
18003,180,0
18301,183,0
18302,183,0
18303,183,0
18401,184,0
18601,186,55
18801,188,55
19001,190,5
19201,192,0
19202,192,0
19203,192,0
19701,197,5
19702,197,5
20001,200,5
20002,200,5
20301,203,5
20302,203,5
20401,204,5
20402,204,5
20501,205,0
20502,205,0
20503,205,0
20801,208,5
21101,211,0
21102,211,0
21103,211,0
21104,211,0
22101,221,5
22102,221,5
22103,221,5
22104,221,5
22401,224,55
22402,224,5
22403,224,100
22701,227,55
22702,227,55
22703,227,5
22704,227,5
22801,228,5
22802,228,0
22803,228,5
22804,228,5
22901,229,5
23101,231,0
23102,231,0
23601,236,0
23602,236,0
23603,236,0
23701,237,5
23901,239,55
23902,239,55
23903,239,55
24001,240,0
24002,240,0
24201,242,5
24401,244,55
24402,244,55
24403,244,0
24501,245,0
24502,245,0
24503,245,0
24901,249,100
24902,249,100
24903,249,5
24904,249,0
25001,250,0
25002,250,0
25201,252,5
25202,252,0
25401,254,5
25402,254,55
25403,254,5
25404,254,5
25405,254,5
25501,255,0
25502,255,5
25503,255,5
25504,255,5
25505,255,5
25601,256,55
25602,256,100
25801,258,55
25802,258,55
25803,258,5
26201,262,1
26202,262,1
26501,265,0
26502,265,0
26503,265,0
26504,265,0
27201,272,0
27202,272,0
27203,272,5
27204,272,0
27501,275,55
27502,275,5
27801,278,5
27802,278,0
27803,278,0
27804,278,0
28201,282,55
28202,282,55
28501,285,5
28502,285,5
28503,285,5
28701,287,0
28702,287,0
28801,288,5
28802,288,55
28803,288,5
28804,288,55
28805,288,55
28806,288,55
28901,289,5
28902,289,55
29001,290,5
29002,290,5
29201,292,5
29202,292,55
29301,293,0
29302,293,0
29401,294,0
29402,294,0
29403,294,0
29701,297,55
29702,297,55
29801,298,0
29802,298,0
30501,305,0
30502,305,55
31201,312,5
31202,312,5
31401,314,
31402,314,0
31403,314,0
31404,314,0
31405,314,0
32101,321,0
32102,321,0
32103,321,0
32201,322,5
32202,322,1
32203,322,0
33301,333,5
33302,333,0
33501,335,5
33801,338,0
33802,338,1
33901,339,5
34001,340,5
34002,340,0
34003,340,0
34301,343,0
34401,344,0
34402,344,0
34501,345,55
34701,347,0
34702,347,0
35401,354,0
35402,354,0
36501,365,0
36502,365,0
36503,365,0
36504,365,0
36505,365,0
36901,369,0
36902,369,0
37101,371,0
37102,371,0
37103,371,0
37301,373,55
37302,373,5
37401,374,0
37402,374,0
37403,374,0
37901,379,5
37902,379,5
37903,379,5
38201,382,55
38202,382,55
38501,385,0
38502,385,0
38503,385,0
38801,388,1
38802,388,1
38803,388,0
38901,389,0
38902,389,0
39001,390,5
39002,390,5
39003,390,5
39004,390,55
39101,391,55
39102,391,55
39103,391,5
39501,395,5
39502,395,5
39701,397,5
39702,397,5
39703,397,5
39704,397,55
39901,399,55
40001,400,55
40101,401,0
40102,401,1
40201,402,55
40202,402,55
40203,402,5
40501,405,0
40502,405,0
40503,405,0
40701,407,0
40702,407,0
41401,414,0
41402,414,0
41601,416,0
41602,416,0
41603,416,0
41604,416,0
41801,418,0
42301,423,0
42302,423,55
42501,425,5
42502,425,55
42503,425,55
42504,425,5
42505,425,5
42701,427,0
42801,428,0
42802,428,0
43101,431,
43102,431,55
43103,431,55
43701,437,0
43702,437,0
43703,437,1
43801,438,5
43901,439,1
43902,439,5
44201,442,0
44202,442,0
44203,442,0
44401,444,0
44402,444,0
44601,446,0
44602,446,0
44901,449,0
44902,449,0
45201,452,5
45202,452,0
45501,455,0
45502,455,0
45801,458,0
45901,459,0
45902,459,5
45903,459,0
46201,462,0
46501,465,55
46701,467,0
46702,467,0
47101,471,0
47102,471,0
47201,472,5
47401,474,5
47402,474,5
47403,474,5
47501,475,55
47601,476,0
47602,476,0
47801,478,5
47802,478,5
48501,485,0
48502,485,
48503,485,0
49101,491,0
49102,491,0
49201,492,0
49202,492,0
49203,492,0
49401,494,0
49402,494,5
49501,495,5
49502,495,5
49901,499,5
50101,501,0
50102,501,0
50301,503,0
50302,503,0
50303,503,0
50401,504,55
50402,504,5
50403,504,5
50601,506,55
50701,507,0
50702,507,0
51401,514,55
51402,514,55
51403,514,55
51501,515,0
51502,515,0
51901,519,5
52201,522,5
52202,522,55
52501,525,0
52502,525,0
52801,528,55
52802,528,55
52901,529,55
52902,529,55
52903,529,0
53001,530,0
53002,530,0
53003,530,0
53201,532,55
53202,532,0
53301,533,0
53601,536,5
53602,536,0
54201,542,0
54202,542,0
54401,544,5
54601,546,100
54602,546,55
54801,548,5
54802,548,5
54803,548,5
54804,548,0
55001,550,5
55002,550,5
55201,552,0
55202,552,0
55701,557,0
55702,557,0
55703,557,0
55704,557,0
55801,558,0
55802,558,0
55803,558,0
56301,563,0
56302,563,0
56303,563,0
56701,567,5
56702,567,5
56801,568,5
57201,572,0
57401,574,5
57601,576,5
57602,576,5
57603,576,5
57604,576,0
57901,579,0
57902,579,0
58201,582,55
58501,585,5
58502,585,5
58503,585,5
58504,585,5
58505,585,
58801,588,5
58802,588,5
58803,588,55
58804,588,0
58901,589,55
58902,589,0
59001,590,55
59002,590,55
59003,590,5
59004,590,5
59301,593,0
59302,593,5
60401,604,5
60402,604,0
60403,604,100
60404,604,0
60801,608,0
60802,608,
60803,608,0
61101,611,5
61102,611,5
61401,614,0
61402,614,0
61501,615,0
61502,615,0
61801,618,55
61802,618,55
61803,618,5
61901,619,5
61902,619,5
61903,619,55
61904,619,5
61905,619,5
61906,619,5
62101,621,55
62102,621,55
62103,621,55
62201,622,5
62202,622,1
62203,622,0
62301,623,55
62302,623,55
62701,627,55
62702,627,55
62703,627,55
62704,627,55
63201,632,55
63202,632,5
63203,632,5
63401,634,5
63402,634,0
63403,634,0
63501,635,0
63502,635,5
64001,640,5
64002,640,0
64201,642,0
64202,642,0
64301,643,
64801,648,55
65001,650,55
65002,650,55
65401,654,55
65601,656,0
65602,656,0
65701,657,0
65702,657,0
66001,660,0
66002,660,0
66003,660,0
66201,662,5
66202,662,0
66401,664,55
66402,664,0
66501,665,0
66502,665,0
66801,668,55
66802,668,5
66803,668,5
66804,668,55
66805,668,0
67701,677,55
67702,677,55
67703,677,55
67704,677,5
68801,688,5
68802,688,5
68901,689,5
68902,689,55
68903,689,0
69101,691,0
69102,691,0
69103,691,0
69201,692,5
69202,692,55
69401,694,0
69402,694,0
69403,694,1
69404,694,1
69601,696,55
69801,698,55
69802,698,55
70301,703,100
70302,703,5
70303,703,55
70401,704,0
70402,704,1
70601,706,100
70602,706,55
70603,706,55
70604,706,55
70605,706,55
70801,708,55
71201,712,0
71202,712,0
71301,713,5
71302,713,5
72001,720,5
72002,720,5
72101,721,100
72102,721,100
72401,724,55
72402,724,55
72601,726,55
72602,726,55
72603,726,55
73301,733,
73302,733,0
73303,733,0
73304,733,0
73601,736,0
73602,736,1
73901,739,55
73902,739,55
73903,739,55
74001,740,5
74301,743,55
74302,743,55
74401,744,5
74402,744,55
74601,746,0
74602,746,0
75201,752,55
75202,752,55
75501,755,5
75502,755,5
75503,755,5
75601,756,5
75602,756,5
75603,756,55
75604,756,55
75605,756,55
75701,757,55
75702,757,1
75801,758,5
75901,759,100
75902,759,5
75903,759,5
75904,759,5
76101,761,5
76102,761,5
76103,761,5
76401,764,5
76402,764,5
76403,764,5
76404,764,5
76405,764,5
76801,768,0
76802,768,55
76803,768,5
76804,768,5
77001,770,5
77002,770,5
77501,775,0
77502,775,0
77503,775,0
77901,779,55
78301,783,0
78501,785,0
78701,787,0
78801,788,0
78901,789,0
79001,790,5
79201,792,55
79202,792,55
79203,792,55
79204,792,55
80101,801,5
80102,801,5
80103,801,5
80301,803,55
