R0000100,R0001100,R0002100,R0002400,R0002700,R0002800,R0002900,R0006800,R0008200,R0009100,R0009200
1,1,0,1,0,1,1,2,1,1,0
2,1,0,1,1,1,1,3,-4,8,2
3,0,1,1,1,1,1,1,2,3,2
4,0,1,1,1,1,0,1,2,3,1
5,0,1,1,1,1,1,1,1,1,1
6,0,1,1,0,1,1,1,1,1,1
7,0,1,-4,1,1,1,2,-2,1,0
8,1,1,1,1,1,1,1,2,7,1
9,0,1,1,1,1,1,2,1,4,3
10,0,0,-4,1,1,0,2,2,3,1
11,0,1,-4,0,0,1,1,1,1,0
12,0,1,1,1,1,1,1,1,3,0
13,1,1,1,1,1,1,2,2,2,1
14,0,1,1,1,1,1,1,2,2,1
15,0,1,1,0,1,1,2,1,1,1
16,0,0,1,1,1,1,1,1,3,1
17,0,1,-4,1,1,1,1,-4,2,0
18,0,0,-3,1,1,1,3,-4,2,0
19,0,0,1,1,1,1,1,1,3,0
20,0,0,1,1,1,1,2,1,2,2
21,0,0,1,1,1,1,2,1,2,2
22,1,0,1,1,1,1,3,1,1,0
23,0,0,1,1,1,1,2,1,2,1
24,0,0,1,1,1,1,2,1,2,0
25,0,0,1,1,1,1,1,1,1,-3
26,0,1,1,1,1,1,1,1,2,2
27,0,0,1,1,1,1,3,1,1,1
28,0,0,1,1,1,1,3,1,1,1
29,1,1,1,0,1,1,1,1,1,1
30,1,1,1,0,1,1,1,1,1,0
31,1,0,-4,0,0,0,3,-2,2,2
32,1,0,1,1,0,1,1,1,2,2
33,1,0,1,1,1,1,1,1,2,2
34,0,1,1,1,1,1,1,-4,5,1
35,0,1,-4,1,1,1,1,-4,5,0
36,0,1,1,1,1,1,1,1,3,1
37,0,1,1,0,1,1,1,1,4,1
38,0,1,1,1,1,1,1,1,4,0
39,0,1,1,1,1,1,3,1,4,0
40,0,1,-4,1,1,1,1,1,2,1
41,0,1,-4,1,1,1,1,1,3,1
42,1,1,1,1,1,1,1,1,1,1
43,0,1,1,1,1,1,2,1,2,2
44,0,1,1,1,1,1,1,1,4,1
45,0,1,-4,1,1,1,1,3,2,1
46,1,1,1,1,1,1,1,1,0,-4
47,0,0,1,1,1,1,1,1,1,0
48,0,1,-3,1,1,1,3,1,3,0
49,0,0,1,1,1,1,2,1,6,1
50,0,1,-4,0,1,0,1,2,4,2
51,0,1,-4,1,1,1,1,2,4,1
52,1,0,1,1,1,1,3,1,6,3
53,0,0,1,0,0,0,3,1,3,0
54,1,0,1,0,0,0,2,-4,3,-3
55,0,1,1,1,1,1,3,1,2,1
56,0,0,1,1,1,0,3,1,2,0
57,0,1,1,1,1,1,2,1,1,0
58,0,0,1,1,1,1,1,1,2,1
59,0,0,1,0,1,-2,3,1,2,2
60,0,0,1,1,1,1,3,1,2,1
61,0,1,1,1,1,1,1,1,3,1
62,0,1,1,1,1,1,1,1,3,1
63,0,1,1,1,1,1,1,1,3,3
64,0,1,1,1,1,1,1,1,3,3
65,0,1,1,1,1,1,1,1,3,3
66,0,1,1,0,1,1,2,1,3,1
67,0,0,1,1,1,1,3,1,1,1
68,0,0,1,1,1,1,3,1,1,1
69,0,1,1,1,1,1,1,1,1,1
70,0,1,1,1,1,1,1,1,1,1
71,0,1,1,1,1,1,1,1,1,1
72,0,0,1,1,1,1,2,1,2,1
