,R0000100,foreign_lang_child,female_work_14,male_work_14,mother_work_1978,father_work_1978,#sibling,#sibling_school,cultural_influence
0,1,1,0,1,2,1,1,0,0.6666666666666666
1,2,1,0,1,3,,8,2,1.0
2,3,0,1,1,1,2,3,2,1.0
3,4,0,1,1,1,2,3,1,0.6666666666666666
4,5,0,1,1,1,1,1,1,1.0
5,6,0,1,1,1,1,1,1,0.6666666666666666
6,7,0,1,,2,,1,0,1.0
7,8,1,1,1,1,2,7,1,1.0
8,9,0,1,1,2,1,4,3,1.0
9,10,0,0,,2,2,3,1,0.6666666666666666
10,11,0,1,,1,1,1,0,0.3333333333333333
11,12,0,1,1,1,1,3,0,1.0
12,13,1,1,1,2,2,2,1,1.0
13,14,0,1,1,1,2,2,1,1.0
14,15,0,1,1,2,1,1,1,0.6666666666666666
15,16,0,0,1,1,1,3,1,1.0
16,17,0,1,,1,,2,0,1.0
17,18,0,0,,3,,2,0,1.0
18,19,0,0,1,1,1,3,0,1.0
19,20,0,0,1,2,1,2,2,1.0
20,21,0,0,1,2,1,2,2,1.0
21,22,1,0,1,3,1,1,0,1.0
22,23,0,0,1,2,1,2,1,1.0
23,24,0,0,1,2,1,2,0,1.0
24,25,0,0,1,1,1,1,,1.0
25,26,0,1,1,1,1,2,2,1.0
26,27,0,0,1,3,1,1,1,1.0
27,28,0,0,1,3,1,1,1,1.0
28,29,1,1,1,1,1,1,1,0.6666666666666666
29,30,1,1,1,1,1,1,0,0.6666666666666666
30,31,1,0,,3,,2,2,0.0
31,32,1,0,1,1,1,2,2,0.6666666666666666
32,33,1,0,1,1,1,2,2,1.0
33,34,0,1,1,1,,5,1,1.0
34,35,0,1,,1,,5,0,1.0
35,36,0,1,1,1,1,3,1,1.0
36,37,0,1,1,1,1,4,1,0.6666666666666666
37,38,0,1,1,1,1,4,0,1.0
38,39,0,1,1,3,1,4,0,1.0
39,40,0,1,,1,1,2,1,1.0
40,41,0,1,,1,1,3,1,1.0
41,42,1,1,1,1,1,1,1,1.0
42,43,0,1,1,2,1,2,2,1.0
43,44,0,1,1,1,1,4,1,1.0
44,45,0,1,,1,3,2,1,1.0
45,46,1,1,1,1,1,0,,1.0
46,47,0,0,1,1,1,1,0,1.0
47,48,0,1,,3,1,3,0,1.0
48,49,0,0,1,2,1,6,1,1.0
49,50,0,1,,1,2,4,2,0.3333333333333333
50,51,0,1,,1,2,4,1,1.0
51,52,1,0,1,3,1,6,3,1.0
52,53,0,0,1,3,1,3,0,0.0
53,54,1,0,1,2,,3,,0.0
54,55,0,1,1,3,1,2,1,1.0
55,56,0,0,1,3,1,2,0,0.6666666666666666
56,57,0,1,1,2,1,1,0,1.0
57,58,0,0,1,1,1,2,1,1.0
58,59,0,0,1,3,1,2,2,0.3333333333333333
59,60,0,0,1,3,1,2,1,1.0
60,61,0,1,1,1,1,3,1,1.0
61,62,0,1,1,1,1,3,1,1.0
62,63,0,1,1,1,1,3,3,1.0
63,64,0,1,1,1,1,3,3,1.0
64,65,0,1,1,1,1,3,3,1.0
65,66,0,1,1,2,1,3,1,0.6666666666666666
66,67,0,0,1,3,1,1,1,1.0
67,68,0,0,1,3,1,1,1,1.0
68,69,0,1,1,1,1,1,1,1.0
69,70,0,1,1,1,1,1,1,1.0
70,71,0,1,1,1,1,1,1,1.0
71,72,0,0,1,2,1,2,1,1.0
72,73,0,1,,1,1,2,2,1.0
73,74,0,1,1,1,1,3,3,1.0
74,75,0,1,1,1,1,3,2,1.0
75,76,0,1,1,1,1,3,3,1.0
76,77,0,1,1,1,1,1,1,1.0
77,78,0,0,1,3,1,2,2,1.0
78,79,0,0,1,3,1,2,2,1.0
79,80,0,1,1,2,1,5,1,0.6666666666666666
80,81,0,0,1,3,1,5,1,1.0
81,82,0,1,1,1,1,6,4,0.6666666666666666
82,83,0,1,1,3,1,3,1,0.3333333333333333
83,84,0,0,1,3,1,3,0,1.0
84,85,0,0,1,3,1,7,3,0.6666666666666666
85,86,0,0,1,2,1,7,4,0.6666666666666666
86,87,0,0,1,3,1,7,3,0.6666666666666666
87,88,0,1,1,1,1,1,0,1.0
88,89,1,1,1,1,1,8,8,0.6666666666666666
89,90,1,1,1,1,1,2,2,0.3333333333333333
90,91,1,1,1,1,1,2,2,0.6666666666666666
91,92,0,0,1,1,1,1,1,1.0
92,93,0,1,0,3,,1,1,0.6666666666666666
93,94,0,1,1,1,2,2,0,1.0
94,95,0,1,1,1,1,2,0,1.0
95,96,1,1,1,1,1,2,0,1.0
96,97,0,1,1,1,1,7,0,1.0
97,98,1,1,0,1,1,2,1,1.0
98,99,0,1,1,2,1,1,0,1.0
99,100,1,0,,3,,2,0,1.0
100,101,1,0,1,3,1,1,1,1.0
101,102,1,0,1,3,1,1,1,1.0
102,103,1,0,1,2,1,2,0,1.0
103,104,1,1,1,1,1,0,,1.0
104,105,1,1,,1,,0,,1.0
105,106,1,1,1,1,,1,1,0.6666666666666666
106,107,0,0,1,1,1,2,1,1.0
107,108,0,0,1,1,1,2,1,1.0
108,109,0,1,1,1,1,2,,1.0
109,110,0,1,1,3,1,3,2,1.0
110,111,0,1,1,3,1,3,2,1.0
111,112,0,0,1,3,1,3,1,1.0
112,113,1,1,1,1,1,3,0,1.0
113,114,1,1,1,1,1,3,1,0.6666666666666666
114,115,0,0,1,3,1,2,2,1.0
115,116,0,0,1,3,1,2,1,1.0
116,117,0,0,1,3,1,2,1,1.0
117,118,0,,,1,1,2,1,0.0
118,119,0,1,1,1,1,2,0,0.3333333333333333
119,120,1,1,1,2,1,2,2,1.0
120,121,1,1,1,1,1,2,2,1.0
121,122,0,0,1,3,1,1,1,1.0
122,123,0,0,1,3,1,1,,0.6666666666666666
123,124,0,0,1,,1,7,1,1.0
124,125,0,0,1,,1,7,2,1.0
125,126,0,0,1,,1,7,1,1.0
126,127,0,0,1,2,1,1,1,1.0
127,128,0,0,1,3,1,,,1.0
128,129,0,1,1,3,1,3,1,1.0
129,130,1,0,0,3,3,7,6,0.3333333333333333
130,131,0,0,0,3,3,10,7,1.0
131,132,1,0,0,3,3,5,0,0.6666666666666666
132,133,0,1,1,1,1,4,1,0.6666666666666666
133,134,0,0,1,3,1,5,2,1.0
134,135,0,0,1,3,1,5,1,1.0
135,136,0,0,1,3,1,1,0,0.6666666666666666
136,137,0,0,1,2,1,4,4,1.0
137,138,0,0,1,2,1,4,4,1.0
138,139,0,0,1,2,1,4,4,1.0
139,140,0,1,1,1,1,1,1,1.0
140,141,0,1,1,1,1,2,0,1.0
141,142,0,0,1,1,,3,3,1.0
142,143,0,1,0,1,,3,2,0.6666666666666666
143,144,0,1,,1,,3,2,1.0
144,145,0,0,1,2,1,3,3,0.6666666666666666
145,146,0,0,1,2,1,3,3,1.0
146,147,0,1,1,1,1,0,,1.0
147,148,0,1,,1,1,2,2,1.0
148,149,0,1,1,1,1,2,2,1.0
149,150,0,1,1,1,2,0,,0.6666666666666666
150,151,0,0,1,1,1,2,2,1.0
151,152,0,1,1,1,1,2,1,1.0
152,153,0,1,1,1,1,2,2,1.0
153,154,0,1,1,1,1,2,2,1.0
154,155,1,0,1,3,1,3,3,1.0
155,156,0,1,,1,1,4,1,1.0
156,157,0,1,1,1,1,2,2,1.0
157,158,0,0,1,1,1,2,2,1.0
158,159,0,1,1,1,1,2,2,1.0
159,160,1,0,1,3,1,3,2,1.0
160,161,1,0,1,3,1,3,2,0.6666666666666666
161,162,0,1,1,1,1,2,1,1.0
162,163,0,1,1,1,1,2,1,1.0
163,164,0,1,1,1,1,3,0,0.6666666666666666
164,165,0,1,1,1,1,3,2,1.0
165,166,0,1,1,1,1,3,2,1.0
166,167,0,0,1,2,1,4,2,1.0
167,168,0,0,,3,,4,3,0.6666666666666666
168,169,0,0,,3,,4,4,0.3333333333333333
169,170,1,0,0,2,,1,0,0.6666666666666666
170,171,1,1,1,2,1,0,,0.3333333333333333
171,172,1,,1,,,9,0,0.6666666666666666
172,173,0,0,1,2,1,2,2,1.0
173,174,1,1,,3,1,1,1,1.0
174,175,0,1,1,3,2,2,1,1.0
175,176,0,1,1,3,2,2,1,1.0
176,177,0,1,1,3,2,2,2,1.0
177,178,0,0,1,3,1,2,0,1.0
178,179,1,1,1,2,1,2,1,1.0
179,180,0,0,1,3,1,4,3,1.0
180,181,1,0,1,,1,1,1,1.0
181,182,1,,1,,,1,0,1.0
