
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="v109",="v115",="v116",="v117",="v118",="v119",="v120"

="teen_mom_ya",="544.82",="-222.45",="512.07",="-508.60",="-549.20",="-1544.41",="476.47"
="",="(704.34)",="(1064.17)",="(1112.56)",="(1216.11)",="(1384.59)",="(1488.44)",="(1695.79)"

="income_18",="-0.01",="",="",="",="",="",=""
="",="(0.02)",="",="",="",="",="",=""

="cfemale1",="-1329.00**",="-3413.42***",="-3738.78***",="-2620.70**",="-6242.96***",="-2596.17*",="-3360.20**"
="",="(548.33)",="(915.33)",="(958.86)",="(1067.47)",="(1216.34)",="(1326.90)",="(1530.92)"

="hgc_ya",="-967.58***",="784.08**",="1903.75***",="2577.67***",="3788.14***",="3907.84***",="5276.16***"
="",="(217.76)",="(359.24)",="(366.61)",="(403.46)",="(451.59)",="(500.52)",="(554.90)"

="m_hgc_ya",="-143.26",="382.05",="141.77",="326.70",="7.45",="766.07",="-263.11"
="",="(192.93)",="(337.92)",="(360.22)",="(392.20)",="(465.27)",="(484.28)",="(571.75)"

="f_hgc",="-400.49**",="413.25",="277.39",="356.25",="743.69*",="627.62",="1117.60**"
="",="(172.65)",="(287.80)",="(295.36)",="(324.73)",="(385.09)",="(403.30)",="(459.54)"

="m_hgc",="485.28**",="-151.43",="232.45",="-412.67",="-455.23",="-848.04*",="-821.11"
="",="(219.98)",="(355.37)",="(360.20)",="(412.74)",="(459.76)",="(498.05)",="(563.01)"

="lnavg_inc",="1027.54**",="6797.40***",="5114.78***",="7774.18***",="7002.63***",="7639.07***",="8704.42***"
="",="(521.97)",="(871.16)",="(870.21)",="(1005.28)",="(1109.51)",="(1246.32)",="(1421.40)"

="pblack",="-942.06",="-1357.98",="-3341.34***",="-1453.39",="-3047.97**",="-1271.07",="-6180.15***"
="",="(744.68)",="(1143.61)",="(1184.84)",="(1306.66)",="(1508.91)",="(1617.15)",="(1852.06)"

="behaveproblemindexpercentilescor",="2.07*",="-1.93",="-3.17",="-1.11",="-3.52",="-4.31",="3.79"
="",="(1.23)",="(2.01)",="(2.20)",="(2.36)",="(2.80)",="(2.99)",="(3.51)"

="income_24",="",="0.03",="",="",="",="",=""
="",="",="(0.03)",="",="",="",="",=""

="income_25",="",="",="0.03",="",="",="",=""
="",="",="",="(0.03)",="",="",="",=""

="income_26",="",="",="",="0.05*",="",="",=""
="",="",="",="",="(0.03)",="",="",=""

="income_27",="",="",="",="",="0.07**",="",=""
="",="",="",="",="",="(0.03)",="",=""

="income_28",="",="",="",="",="",="0.04",=""
="",="",="",="",="",="",="(0.03)",=""

="income_29",="",="",="",="",="",="",="0.07**"
="",="",="",="",="",="",="",="(0.03)"

="_cons",="-1454.60",="-52746.43***",="-34994.90***",="-65333.88***",="-55986.32***",="-64762.34***",="-82151.19***"
="",="(5276.53)",="(8963.23)",="(8912.82)",="(10298.55)",="(11323.44)",="(13097.55)",="(14531.12)"

="N",="1106",="1605",="1556",="1508",="1293",="1245",="1108"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
