R0000100,R7607800,R7608400,R7608500,R7608200,R7729800,R7608300
1,-5,-5,-5,-5,-5,-5
2,0,-4,-4,-4,-4,-4
3,0,-4,-4,-4,-4,-4
4,-5,-5,-5,-5,-5,-5
5,-5,-5,-5,-5,-5,-5
6,43500,-4,-4,-4,-4,-4
7,27500,-4,-4,-4,-4,-4
8,31500,-4,-4,-4,-4,-4
9,50000,-4,-4,-4,-4,-4
10,-5,-5,-5,-5,-5,-5
11,15000,-4,-4,-4,-4,-4
12,-5,-5,-5,-5,-5,-5
13,36000,-4,-4,-4,-4,-4
14,66000,-4,-4,-4,-4,-4
15,0,-4,-4,-4,-4,-4
16,39000,-4,-4,-4,-4,-4
17,77000,-4,-4,-4,-4,-4
18,236000,-4,-4,-4,-4,-4
19,-5,-5,-5,-5,-5,-5
20,45000,-4,-4,-4,-4,-4
21,110000,-4,-4,-4,-4,-4
22,35000,-4,-4,-4,-4,-4
23,-5,-5,-5,-5,-5,-5
24,-5,-5,-5,-5,-5,-5
25,20000,-4,-4,-4,-4,-4
26,-5,-5,-5,-5,-5,-5
27,0,-4,-4,-4,-4,-4
28,-5,-5,-5,-5,-5,-5
29,61000,-4,-4,-4,-4,-4
30,0,-4,-4,-4,-4,-4
31,36000,-4,-4,-4,-4,-4
32,-5,-5,-5,-5,-5,-5
33,-5,-5,-5,-5,-5,-5
34,25000,-4,-4,-4,-4,-4
35,-5,-5,-5,-5,-5,-5
36,65000,-4,-4,-4,-4,-4
37,30000,-4,-4,-4,-4,-4
38,58000,-4,-4,-4,-4,-4
39,75000,-4,-4,-4,-4,-4
40,1600,-4,-4,-4,-4,-4
41,105000,-4,-4,-4,-4,-4
42,45000,-4,-4,-4,-4,-4
43,0,-4,-4,-4,-4,-4
44,0,-4,-4,-4,-4,-4
45,-5,-5,-5,-5,-5,-5
46,33000,-4,-4,-4,-4,-4
47,57995,-4,-4,-4,-4,-4
48,-5,-5,-5,-5,-5,-5
49,35000,-4,-4,-4,-4,-4
50,21000,-4,-4,-4,-4,-4
51,-5,-5,-5,-5,-5,-5
52,-5,-5,-5,-5,-5,-5
53,0,-4,-4,-4,-4,-4
54,42000,-4,-4,-4,-4,-4
55,-5,-5,-5,-5,-5,-5
56,-5,-5,-5,-5,-5,-5
57,1200,-4,-4,-4,-4,-4
58,-5,-5,-5,-5,-5,-5
59,-2,-4,-4,-4,-4,-2
60,-5,-5,-5,-5,-5,-5
61,52000,-4,-4,-4,-4,-4
62,27000,-4,-4,-4,-4,-4
63,120000,-4,-4,-4,-4,-4
64,-5,-5,-5,-5,-5,-5
65,-5,-5,-5,-5,-5,-5
66,-2,-2,0,-4,-4,-4
67,236000,-4,-4,-4,-4,-4
68,0,-4,-4,-4,-4,-4
69,71000,-4,-4,-4,-4,-4
70,-2,-4,-4,-4,0,-4
71,-5,-5,-5,-5,-5,-5
72,36000,-4,-4,-4,-4,-4
73,236000,-4,-4,-4,-4,-4
74,-5,-5,-5,-5,-5,-5
75,-1,-1,0,-4,-4,-4
76,36000,-4,-4,-4,-4,-4
77,68000,-4,-4,-4,-4,-4
78,-5,-5,-5,-5,-5,-5
79,236000,-4,-4,-4,-4,-4
80,10500,-4,-4,-4,-4,-4
81,-5,-5,-5,-5,-5,-5
82,-5,-5,-5,-5,-5,-5
83,0,-4,-4,-4,-4,-4
84,12000,-4,-4,-4,-4,-4
85,-2,-4,-4,-4,-4,15000
86,10000,-4,-4,-4,-4,-4
87,14000,-4,-4,-4,-4,-4
88,0,-4,-4,-4,-4,-4
89,48000,-4,-4,-4,-4,-4
90,106500,-4,-4,-4,-4,-4
91,58000,-4,-4,-4,-4,-4
92,19000,-4,-4,-4,-4,-4
93,73000,-4,-4,-4,-4,-4
94,42000,-4,-4,-4,-4,-4
95,32000,-4,-4,-4,-4,-4
96,28000,-4,-4,-4,-4,-4
97,32000,-4,-4,-4,-4,-4
98,0,-4,-4,-4,-4,-4
99,5000,-4,-4,-4,-4,-4
100,49000,-4,-4,-4,-4,-4
101,-5,-5,-5,-5,-5,-5
102,-2,-4,-4,-4,-4,-2
103,60000,-4,-4,-4,-4,-4
104,-5,-5,-5,-5,-5,-5
105,-5,-5,-5,-5,-5,-5
106,86000,-4,-4,-4,-4,-4
107,41000,-4,-4,-4,-4,-4
108,95000,-4,-4,-4,-4,-4
109,-5,-5,-5,-5,-5,-5
110,62000,-4,-4,-4,-4,-4
111,34000,-4,-4,-4,-4,-4
112,800,-4,-4,-4,-4,-4
113,-5,-5,-5,-5,-5,-5
114,-5,-5,-5,-5,-5,-5
115,-5,-5,-5,-5,-5,-5
116,-5,-5,-5,-5,-5,-5
117,52000,-4,-4,-4,-4,-4
118,-5,-5,-5,-5,-5,-5
119,40000,-4,-4,-4,-4,-4
120,236000,-4,-4,-4,-4,-4
121,35000,-4,-4,-4,-4,-4
122,40000,-4,-4,-4,-4,-4
123,-5,-5,-5,-5,-5,-5
124,0,-4,-4,-4,-4,-4
125,0,-4,-4,-4,-4,-4
126,65000,-4,-4,-4,-4,-4
127,-5,-5,-5,-5,-5,-5
128,53500,-4,-4,-4,-4,-4
129,72000,-4,-4,-4,-4,-4
