"R0000100","T2076700","T2076900","T2077100","T2077300","T2077400"
1,-5,-5,-5,-5,-5
2,5000,-4,-4,-4,-4
3,30000,-4,-4,-4,-4
4,-5,-5,-5,-5,-5
5,-5,-5,-5,-5,-5
6,86000,-4,-4,-4,-4
7,32500,-4,-4,-4,-4
8,41000,-4,-4,-4,-4
9,50000,-4,-4,-4,-4
10,-5,-5,-5,-5,-5
11,-5,-5,-5,-5,-5
12,-5,-5,-5,-5,-5
13,-5,-5,-5,-5,-5
14,85000,-4,-4,-4,-4
15,0,-4,-4,-4,-4
16,66000,-4,-4,-4,-4
17,50000,-4,-4,-4,-4
18,100000,-4,-4,-4,-4
19,-5,-5,-5,-5,-5
20,88000,-4,-4,-4,-4
21,307823,-4,-4,-4,-4
22,45600,-4,-4,-4,-4
23,-5,-5,-5,-5,-5
24,-5,-5,-5,-5,-5
25,33000,-4,-4,-4,-4
26,-5,-5,-5,-5,-5
27,15769,-4,-4,-4,-4
28,-5,-5,-5,-5,-5
29,62000,-4,-4,-4,-4
30,0,-4,-4,-4,-4
31,46000,-4,-4,-4,-4
32,-5,-5,-5,-5,-5
33,0,-4,-4,-4,-4
34,3600,-4,-4,-4,-4
35,-5,-5,-5,-5,-5
36,30000,-4,-4,-4,-4
37,38000,-4,-4,-4,-4
38,87000,-4,-4,-4,-4
39,57000,-4,-4,-4,-4
40,0,-4,-4,-4,-4
41,100000,-4,-4,-4,-4
42,51000,-4,-4,-4,-4
43,0,-4,-4,-4,-4
44,20280,-4,-4,-4,-4
45,-5,-5,-5,-5,-5
46,48000,-4,-4,-4,-4
47,68000,-4,-4,-4,-4
48,-5,-5,-5,-5,-5
49,0,-4,-4,-4,-4
50,36400,-4,-4,-4,-4
51,-5,-5,-5,-5,-5
52,-5,-5,-5,-5,-5
53,2453,-4,-4,-4,-4
54,-5,-5,-5,-5,-5
55,-5,-5,-5,-5,-5
56,-5,-5,-5,-5,-5
57,51000,-4,-4,-4,-4
58,62000,-4,-4,-4,-4
59,43680,-4,-4,-4,-4
60,-5,-5,-5,-5,-5
61,65000,-4,-4,-4,-4
62,31800,-4,-4,-4,-4
63,120000,-4,-4,-4,-4
64,-5,-5,-5,-5,-5
65,-5,-5,-5,-5,-5
66,-1,-4,-4,-4,-4
67,307823,-4,-4,-4,-4
68,0,-4,-4,-4,-4
69,147000,-4,-4,-4,-4
70,50000,-4,-4,-4,-4
71,-5,-5,-5,-5,-5
72,40500,-4,-4,-4,-4
73,150000,-4,-4,-4,-4
74,-5,-5,-5,-5,-5
75,50000,-4,-4,-4,-4
76,50000,-4,-4,-4,-4
