,,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income,income
age,,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0
code,spouse_birthyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,52836.06314923038,62160.969236881625,60378.794348421434,,58669.64125754549,,69281.46921243968,,58907.38405757002,,61574.407002445696,,65194.39637492358,,,,,,,,,,,,22999.98522480949,,,,,,,,,,,,,,
3,1960.0,,,,23981.90816359454,21692.56787327964,9195.111445446919,37782.75950505304,60814.982961080044,39788.12438615329,57572.40924178083,8850.677752929247,35179.69884274569,28371.274953338852,12808.742581631608,31080.484618440812,34717.80675034232,,60100.60811748562,,58413.7877673511,,68070.75491096982,,22166.78652088045,,,,44662.530404295314,,47325.08503388631,,,,53316.870841458556,,46801.64621495725,,45999.97044961898,,44479.41226057545,,46910.63789166432,,,,,,,,,,,,,,,,,,,,,,,,
4,1957.0,,,,,,37044.518148076626,23981.90816359454,,,,,,,,,,,,,,,,54338.40722544288,,,,,,,,,,,,,,,,,,65319.95803845896,,24018.882620710745,,46910.63789166432,,,,,,,,,,,,,,,,,,,,,
5,1959.0,,,,,,,,,36488.98977664803,,34543.4455450685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1960.0,,,,,,,,,,,,42215.638611294824,58411.448433344696,49633.87750382248,46620.72692766122,22642.047880658036,,18602.569179221744,,,,54980.225120398696,,60342.918862396786,,16002.260928390333,,14515.322381395978,,57841.770596972165,,13213.205647653365,,50408.67788646991,,65522.30470094015,,49679.9680855885,,13343.823678172634,,8529.206889393514,,,,,,,,,,,,,,,,,,,,,,,,
8,1956.0,,,,,501.40508429214634,21031.877366639605,42336.59216923043,43647.07285774207,37058.13678351938,15325.185742411531,,,39788.12438615329,,,,,,,,,,,,,,,,,,,,,420.6674225234339,,2032.8008688697487,,1163.2771819954594,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1965.0,,,,,34543.4455450685,38721.71516906545,43974.62355343211,40053.56464000779,38426.22774489482,2486.438769475265,15094.698587105358,,19318.05260919181,,6792.30090318036,,6545.264895285558,,30787.203501222848,,17780.2899204337,,26797.51824257719,,15775.02834462877,,50820.02172174372,,63010.84735808739,,74882.6339439316,,101199.93498916176,,,,68233.65511514811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1961.0,,,,27793.602587639536,21893.122489159334,25188.50633670203,,,47977.00770148402,,43974.62355343211,33377.97053333983,36825.13492219087,20202.315001986528,25660.98759807911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1957.0,,,,,,,,49712.13470959917,43786.24497831867,48277.97047867889,,,,,,,,69931.09039149183,71699.81828875045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1954.0,,,,,,,,,,,,,,,,,29502.259176430824,29902.744016333832,16688.985266669915,,1398.6218078298366,,,3090.8884174706895,,6113.070812862325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1960.0,,,,,,,,,,,,,60080.34696001168,59240.43444004618,59052.92077503754,45284.09576131607,,28619.337198802677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1958.0,,,,,,,,,,,,,12907.238389688484,58046.50309053038,55073.651380010706,54437.15597193433,59052.92077503754,60378.794348421434,,80134.1441566475,,92375.2922832529,,54980.225120398696,,51722.501882054385,,11853.526613622469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1958.0,,,,,,,,,,,,,,,,,,,,,,,,,,34481.66792136959,,42672.69580904089,,44662.530404295314,,46273.416477577724,,39639.6169429601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1953.0,,,,,,,,,24036.43127615955,2910.640711634592,26380.098979954,31634.994815199472,15325.185742411531,18891.37975252652,12162.99659221601,,,,,,,,10868.182982715858,,3434.3204638563216,,9509.221264452504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1953.0,,,,,,,,16713.502809738213,,,,,,,,,32624.365237009133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1951.0,,,,,,,,,,,,,,,,,,,65248.730474018266,55316.73595580779,59805.488032667665,56742.549906677705,56038.24879463828,55944.87231319345,60378.794348421434,,48652.87323796455,,48904.5665028986,,57598.33107851292,,55416.96630220112,,59267.63306811234,,62527.542566013435,,58893.43915328074,,,,72704.82387471622,,76754.6997925299,,78199.94976435226,,,,,,,,,,,,,,,,,,,
21,1960.0,,,,,,,,,,,,,,27218.577985967164,28749.448272057754,33208.33689163179,,39351.58864835369,,51621.48686417074,,60216.43703662714,,80046.7291031794,,82974.68629535727,,82625.68124794633,,82030.14739206962,,,,106633.74168291711,,98283.45705141022,,91999.94089923796,,88958.8245211509,,23881.779290301838,,,,,,,,,,,,,,,,,,,,,,,,
22,1959.0,,,,,,,,,,,,70067.8655440232,45733.608495569395,28371.274953338852,25617.485163263216,27972.436156596727,32906.442919889676,,50083.84009790469,,32603.04433526573,,28799.16553925646,,61574.407002445696,,29633.81653405617,,39079.7141037584,,,,69115.22954157145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1966.0,,26353.159283134686,27851.687070307304,30705.284928949775,73755.64794107706,33420.7139006084,,44830.59903571063,48174.751158583254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1957.0,,,,,,,,,,,,,76763.21232237444,73755.64794107706,70359.39768549138,66755.94106667966,64043.712908158035,116551.81731915304,123776.52841426393,,114477.34879521071,,288645.6191815526,,317263.38905726065,,328421.8776052247,,366758.7815994314,,334388.365136959,,304700.98248784256,,306364.4353477942,,145409.64774943245,,102963.62167290594,,112239.9278970703,,133438.23678172636,,138273.79624946974,,,,,,,,,,,,,,,,,,,,,
26,1964.0,,,,,,34159.62948345663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1959.0,,,,,,,,56422.25419421255,62842.149059782714,70138.50566791103,72713.95287236919,83294.09711105684,99994.77599062033,93928.9468778716,99602.38340759008,112767.76831685788,105330.80674082118,,120236.99040646975,,288645.6191815526,,159704.46344496764,,328421.8776052247,,366758.7815994314,,334388.365136959,,304700.98248784256,,6098.402606609246,,185506.84281516424,,,,310074.7608079736,,133438.23678172636,,347902.0844149167,,,,,,,,,,,,,,,,,,,,,,,
28,1961.0,,,,,,,35069.973507556155,41777.53060546096,61986.29395031736,,,,,,,,,,84224.53119943647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1950.0,,,,,,,,,,,,,,23981.90816359454,,,13215.569657989667,82100.22699745806,17948.42291059375,,3319.004157348467,29913.29792598666,35046.869060006815,32021.856454079018,,,,,,1086.7681445088576,,45816.85426699891,,43102.08490171198,,,,71233.3863050707,,50480.09070281207,,69521.7897153454,,,,,,,,,,,,,,,,,,,,,,,,
31,1965.0,,3358.4675115602704,22298.827085729346,25862.28085099964,10075.171617311646,27658.367977903894,15830.864479235557,15020.08674000292,16010.928227039509,24864.38769475265,9056.819152263215,,,,,,,,27092.73908107611,,,,,,31550.05668925754,,30492.01303304623,,31020.724853212254,,23400.823107478624,,25759.983451786626,,32025.176827614323,,34116.827557574055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12808.742581631608,51282.79962042734,,,,,,,,,,,,,,,,,306364.4353477942,,,,,,,,,,,,,,,,,,,,
34,1964.0,,,,,31830.499508922632,24948.04400477169,25814.476779376968,21107.819305647412,28371.274953338852,33622.94927678297,,,,35774.171498503354,,25810.74343208537,,32726.324476427795,,33250.17978132068,,42672.69580904089,,42987.68551413424,,44170.07936496056,,,,,,,,6899.9955674428475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1962.0,,,,,,,,40300.68646924658,,43974.62355343211,41054.90375600798,40027.32056759878,,42265.156043895004,,38636.10521838362,,43470.72578035431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
