"R0000100","R8325800","R8326000","R8326200","R8326400","R8326500"
1,-5,-5,-5,-5,-5
2,55000,-4,-4,-4,-4
3,-5,-5,-5,-5,-5
4,-5,-5,-5,-5,-5
5,-5,-5,-5,-5,-5
6,13500,-4,-4,-4,-4
7,-4,-4,-4,-4,-4
8,-4,-4,-4,-4,-4
9,15000,-4,-4,-4,-4
10,-5,-5,-5,-5,-5
11,-4,-4,-4,-4,-4
12,-5,-5,-5,-5,-5
13,-4,-4,-4,-4,-4
14,-4,-4,-4,-4,-4
15,309409,-4,-4,-4,-4
16,10000,-4,-4,-4,-4
17,36000,-4,-4,-4,-4
18,-4,-4,-4,-4,-4
19,-5,-5,-5,-5,-5
20,50000,-4,-4,-4,-4
21,70000,-4,-4,-4,-4
22,25000,-4,-4,-4,-4
23,-5,-5,-5,-5,-5
24,-5,-5,-5,-5,-5
25,309409,-4,-4,-4,-4
26,-5,-5,-5,-5,-5
27,309409,-4,-4,-4,-4
28,-5,-5,-5,-5,-5
29,45000,-4,-4,-4,-4
30,0,-4,-4,-4,-4
31,-4,-4,-4,-4,-4
32,-4,-4,-4,-4,-4
33,-5,-5,-5,-5,-5
34,36000,-4,-4,-4,-4
35,-5,-5,-5,-5,-5
36,34000,-4,-4,-4,-4
37,90000,-4,-4,-4,-4
38,31600,-4,-4,-4,-4
39,10000,-4,-4,-4,-4
40,49000,-4,-4,-4,-4
41,0,-4,-4,-4,-4
42,45000,-4,-4,-4,-4
43,-4,-4,-4,-4,-4
44,128000,-4,-4,-4,-4
45,-5,-5,-5,-5,-5
46,85000,-4,-4,-4,-4
47,-4,-4,-4,-4,-4
48,-5,-5,-5,-5,-5
49,55100,-4,-4,-4,-4
50,40000,-4,-4,-4,-4
51,-5,-5,-5,-5,-5
52,-5,-5,-5,-5,-5
53,-4,-4,-4,-4,-4
54,-5,-5,-5,-5,-5
55,-5,-5,-5,-5,-5
56,-5,-5,-5,-5,-5
57,66560,-4,-4,-4,-4
58,22000,-4,-4,-4,-4
59,62000,-4,-4,-4,-4
60,-5,-5,-5,-5,-5
61,90000,-4,-4,-4,-4
62,52000,-4,-4,-4,-4
63,130000,-4,-4,-4,-4
64,-5,-5,-5,-5,-5
65,-5,-5,-5,-5,-5
66,-4,-4,-4,-4,-4
67,-5,-5,-5,-5,-5
68,309409,-4,-4,-4,-4
69,45000,-4,-4,-4,-4
70,45000,-4,-4,-4,-4
71,-5,-5,-5,-5,-5
72,-4,-4,-4,-4,-4
73,-4,-4,-4,-4,-4
74,-5,-5,-5,-5,-5
75,75000,-4,-4,-4,-4
76,30000,-4,-4,-4,-4
77,-4,-4,-4,-4,-4
78,67227,-4,-4,-4,-4
79,0,-4,-4,-4,-4
80,-4,-4,-4,-4,-4
81,-4,-4,-4,-4,-4
82,-5,-5,-5,-5,-5
83,-4,-4,-4,-4,-4
84,-4,-4,-4,-4,-4
85,-4,-4,-4,-4,-4
86,-4,-4,-4,-4,-4
87,-4,-4,-4,-4,-4
88,35000,-4,-4,-4,-4
89,50000,-4,-4,-4,-4
90,32000,-4,-4,-4,-4
91,43000,-4,-4,-4,-4
92,-4,-4,-4,-4,-4
93,5000,-4,-4,-4,-4
94,-1,-4,-4,1,-4
95,-4,-4,-4,-4,-4
96,-4,-4,-4,-4,-4
97,50000,-4,-4,-4,-4
98,0,-4,-4,-4,-4
99,-4,-4,-4,-4,-4
100,-4,-4,-4,-4,-4
101,12000,-4,-4,-4,-4
102,-1,-4,-4,-4,-4
103,2000,-4,-4,-4,-4
104,-5,-5,-5,-5,-5
105,-4,-4,-4,-4,-4
106,8400,-4,-4,-4,-4
107,-4,-4,-4,-4,-4
108,55000,-4,-4,-4,-4
109,-5,-5,-5,-5,-5
110,12000,-4,-4,-4,-4
111,65000,-4,-4,-4,-4
112,-4,-4,-4,-4,-4
113,-5,-5,-5,-5,-5
114,-5,-5,-5,-5,-5
115,-5,-5,-5,-5,-5
116,-5,-5,-5,-5,-5
117,46000,-4,-4,-4,-4
118,-5,-5,-5,-5,-5
119,-4,-4,-4,-4,-4
120,-4,-4,-4,-4,-4
121,-4,-4,-4,-4,-4
122,60000,-4,-4,-4,-4
123,-5,-5,-5,-5,-5
124,95000,-4,-4,-4,-4
125,-5,-5,-5,-5,-5
126,-2,30000,40000,-4,-4
127,-5,-5,-5,-5,-5
128,-5,-5,-5,-5,-5
129,-4,-4,-4,-4,-4
130,-5,-5,-5,-5,-5
131,-5,-5,-5,-5,-5
132,-5,-5,-5,-5,-5
133,30000,-4,-4,-4,-4
134,-5,-5,-5,-5,-5
135,60000,-4,-4,-4,-4
136,-4,-4,-4,-4,-4
137,65000,-4,-4,-4,-4
138,85000,-4,-4,-4,-4
139,35000,-4,-4,-4,-4
140,100000,-4,-4,-4,-4
141,-4,-4,-4,-4,-4
142,-5,-5,-5,-5,-5
143,60000,-4,-4,-4,-4
144,36000,-4,-4,-4,-4
145,-4,-4,-4,-4,-4
146,-4,-4,-4,-4,-4
147,70000,-4,-4,-4,-4
148,-4,-4,-4,-4,-4
149,40000,-4,-4,-4,-4
150,-4,-4,-4,-4,-4
151,-5,-5,-5,-5,-5
152,180000,-4,-4,-4,-4
153,-4,-4,-4,-4,-4
154,-5,-5,-5,-5,-5
155,-4,-4,-4,-4,-4
156,-4,-4,-4,-4,-4
157,-5,-5,-5,-5,-5
158,50000,-4,-4,-4,-4
159,-5,-5,-5,-5,-5
160,40000,-4,-4,-4,-4
161,56000,-4,-4,-4,-4
162,0,-4,-4,-4,-4
163,-5,-5,-5,-5,-5
164,-5,-5,-5,-5,-5
165,65000,-4,-4,-4,-4
166,78000,-4,-4,-4,-4
167,-5,-5,-5,-5,-5
168,-5,-5,-5,-5,-5
169,-5,-5,-5,-5,-5
170,-5,-5,-5,-5,-5
171,52000,-4,-4,-4,-4
172,-4,-4,-4,-4,-4
173,-5,-5,-5,-5,-5
174,68000,-4,-4,-4,-4
175,-5,-5,-5,-5,-5
176,-5,-5,-5,-5,-5
177,-5,-5,-5,-5,-5
178,32000,-4,-4,-4,-4
179,85000,-4,-4,-4,-4
180,45000,-4,-4,-4,-4
181,600,-4,-4,-4,-4
182,-5,-5,-5,-5,-5
183,110000,-4,-4,-4,-4
184,95000,-4,-4,-4,-4
185,-4,-4,-4,-4,-4
186,112000,-4,-4,-4,-4
187,-5,-5,-5,-5,-5
188,30000,-4,-4,-4,-4
189,-4,-4,-4,-4,-4
190,-4,-4,-4,-4,-4
191,40000,-4,-4,-4,-4
192,110000,-4,-4,-4,-4
193,0,-4,-4,-4,-4
194,-1,-4,-4,-4,-4
195,0,-4,-4,-4,-4
196,5000,-4,-4,-4,-4
197,-4,-4,-4,-4,-4
198,18000,-4,-4,-4,-4
199,0,-4,-4,-4,-4
200,42000,-4,-4,-4,-4
201,40000,-4,-4,-4,-4
202,-4,-4,-4,-4,-4
203,-5,-5,-5,-5,-5
204,-5,-5,-5,-5,-5
205,-2,40000,80000,-4,-4
206,-5,-5,-5,-5,-5
207,-4,-4,-4,-4,-4
208,-5,-5,-5,-5,-5
209,-5,-5,-5,-5,-5
210,90000,-4,-4,-4,-4
211,85000,-4,-4,-4,-4
