"R0000100","T8671700","T8671900","T8672100","T8672400","T8672500"
1,-5,-5,-5,-5,-5
2,0,-4,-4,-4,-4
3,55000,-4,-4,-4,-4
4,55000,-4,-4,-4,-4
5,-5,-5,-5,-5,-5
6,10000,-4,-4,-4,-4
7,-5,-5,-5,-5,-5
8,0,-4,-4,-4,-4
9,80000,-4,-4,-4,-4
10,-5,-5,-5,-5,-5
11,-5,-5,-5,-5,-5
12,-5,-5,-5,-5,-5
13,-5,-5,-5,-5,-5
14,-5,-5,-5,-5,-5
15,407895,-4,-4,-4,-4
16,-4,-4,-4,-4,-4
17,-4,-4,-4,-4,-4
18,-4,-4,-4,-4,-4
19,-5,-5,-5,-5,-5
20,-5,-5,-5,-5,-5
21,28000,-4,-4,-4,-4
22,-4,-4,-4,-4,-4
23,-5,-5,-5,-5,-5
24,-5,-5,-5,-5,-5
25,162118,-4,-4,-4,-4
26,-5,-5,-5,-5,-5
27,407895,-4,-4,-4,-4
28,-5,-5,-5,-5,-5
29,24000,-4,-4,-4,-4
30,0,-4,-4,-4,-4
31,40000,-4,-4,-4,-4
32,-5,-5,-5,-5,-5
33,-4,-4,-4,-4,-4
34,0,-4,-4,-4,-4
35,-5,-5,-5,-5,-5
36,-1,-4,-4,-4,-4
37,0,-4,-4,-4,-4
38,40000,-4,-4,-4,-4
39,-2,-2,20000,-4,-4
40,90000,-4,-4,-4,-4
41,24000,-4,-4,-4,-4
42,-5,-5,-5,-5,-5
43,-4,-4,-4,-4,-4
44,-1,-4,-4,-4,1
45,-5,-5,-5,-5,-5
46,-5,-5,-5,-5,-5
47,109000,-4,-4,-4,-4
48,-5,-5,-5,-5,-5
49,74000,-4,-4,-4,-4
50,65000,-4,-4,-4,-4
51,-5,-5,-5,-5,-5
52,-5,-5,-5,-5,-5
53,-4,-4,-4,-4,-4
54,0,-4,-4,-4,-4
55,-5,-5,-5,-5,-5
56,-5,-5,-5,-5,-5
57,-4,-4,-4,-4,-4
58,65000,-4,-4,-4,-4
59,0,-4,-4,-4,-4
60,-5,-5,-5,-5,-5
61,138000,-4,-4,-4,-4
62,-4,-4,-4,-4,-4
63,407895,-4,-4,-4,-4
64,-5,-5,-5,-5,-5
65,-5,-5,-5,-5,-5
66,-4,-4,-4,-4,-4
67,0,-4,-4,-4,-4
68,0,-4,-4,-4,-4
69,40000,-4,-4,-4,-4
70,-4,-4,-4,-4,-4
71,-5,-5,-5,-5,-5
72,-4,-4,-4,-4,-4
73,-5,-5,-5,-5,-5
74,-5,-5,-5,-5,-5
75,75000,-4,-4,-4,-4
76,80000,-4,-4,-4,-4
77,-4,-4,-4,-4,-4
78,-5,-5,-5,-5,-5
79,-5,-5,-5,-5,-5
80,-4,-4,-4,-4,-4
81,90000,-4,-4,-4,-4
82,-5,-5,-5,-5,-5
83,-4,-4,-4,-4,-4
84,-4,-4,-4,-4,-4
85,-1,-4,-4,-4,-4
86,-2,-2,-2,-4,-4
87,-1,-4,-4,1,-4
88,-4,-4,-4,-4,-4
89,93000,-4,-4,-4,-4
90,75000,-4,-4,-4,-4
91,407895,-4,-4,-4,-4
92,-4,-4,-4,-4,-4
93,65000,-4,-4,-4,-4
94,-4,-4,-4,-4,-4
95,100000,-4,-4,-4,-4
96,55000,-4,-4,-4,-4
97,0,-4,-4,-4,-4
98,0,-4,-4,-4,-4
