R0000100,R0011500,R0225400,R0413000,R0658800,R0902700,R1202500,R1601800,R1901800,R2301800,R2502900,R2902900,R3103300,R3503300,R3703300,R7101001,T0011801,spouse_birth_year
1,-4,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-1905,-1905,-4
2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,46,-1904,-1904,46
3,-4,-4,-5,60,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,60
4,-4,-5,57,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-1905,-1905,57
5,-4,-4,-4,-4,-4,-4,-5,59,-5,-4,-4,-5,-5,-5,-1905,-1905,59
6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,60,-4,-4,-1904,-1904,60
7,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3,-4,-4,-1904,-1904,-3
8,56,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,56
9,-4,-4,-4,-4,-4,-4,-4,-4,-4,65,-4,-4,-4,-4,-1904,-1904,65
10,-4,-4,-4,-4,61,-4,-4,-5,-5,-4,-5,-4,-4,-4,-1905,-1905,61
11,-4,-5,-4,-4,-4,-4,-4,-5,-5,-5,-4,-4,-4,-4,-1904,-1905,-4
12,-4,-4,-4,-4,57,-4,-4,-5,-5,-5,-5,-5,-5,-5,-1905,-1905,57
13,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,54,-4,-4,-4,-1904,-1904,54
14,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,60,-4,-1904,-1904,60
15,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,-4
16,-4,-4,-4,-4,-4,-4,-4,-4,-4,58,-4,-4,-4,-4,-1904,-1904,58
17,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,58,-1904,58
18,-4,53,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1904,-1904,53
19,50,-4,-4,48,-5,-4,-4,-4,-4,47,-4,-4,-4,-4,-1905,53,53
20,-4,-4,-4,-4,-4,-4,-4,-4,-4,51,-4,-4,-4,-4,-1904,-1904,51
21,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,60,-1904,-1904,60
22,-4,-4,-4,-4,-4,-4,-4,-4,-4,59,-4,-4,-4,-4,-1904,-1904,59
23,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-4,-4,-1905,-1905,-4
24,-4,-4,-4,-4,-4,-5,-4,66,-4,-4,-4,-4,-5,-4,-1905,-1905,66
25,-4,-4,-4,-4,-4,-4,-4,-4,-4,57,-4,-4,-4,-4,-1904,-1904,57
26,-4,-4,-4,-4,-4,-4,-4,-4,-4,64,-4,-4,-4,-4,-1905,-1905,64
