C0000100,C0000200,C0005700,m_age_ya,m_HGC
201,2,1993,34,13
202,2,1994,35,13
301,3,1981,19,13
302,3,1983,22,13
303,3,1986,24,13
401,4,1980,18,14
403,4,1997,34,14
801,8,1976,17,14
802,8,1979,20,14
803,8,1982,24,14
1001,10,1983,22,9
1002,10,1988,27,9
1201,12,1989,30,16
1202,12,1993,33,16
1601,16,1990,31,13
1602,16,1993,34,13
1603,16,1996,37,13
1901,19,1987,29,12
2001,20,1990,30,17
2501,25,1990,30,14
2502,25,1993,33,14
2701,27,1988,27,16
2702,27,1992,31,16
3001,30,1982,24,14
3002,30,1987,28,14
3003,30,1991,32,14
3501,35,1990,26,13
3502,35,1993,29,13
3701,37,1990,31,12
4301,43,1982,21,12
4302,43,1989,27,12
4303,43,1997,35,12
4304,43,2000,38,12
4401,44,1981,20,12
4402,44,1985,24,12
4601,46,1994,31,19
4602,46,1997,34,19
4901,49,1982,24,14
4902,49,1987,28,14
5001,50,1985,26,12
5002,50,1988,29,12
5003,50,1990,31,12
5004,50,1990,31,12
5005,50,1992,34,12
5701,57,1979,21,12
5702,57,1995,37,12
5703,57,1998,39,12
5801,58,1981,24,17
5802,58,1984,27,17
5803,58,1988,31,17
6101,61,1993,30,14
6102,61,1994,31,14
6103,61,2003,40,14
6201,62,1996,32,16
6202,62,1998,34,16
6203,62,2001,37,16
6801,68,1993,31,18
6802,68,1995,33,18
6803,68,1996,34,18
7501,75,1994,31,16
7502,75,1996,34,16
7801,78,1989,31,16
7802,78,1992,34,16
7803,78,1996,39,16
7804,78,2000,42,16
8601,86,1977,17,11
8901,89,1986,27,16
9101,91,1994,30,16
9102,91,1996,33,16
9201,92,1982,20,12
9202,92,1992,29,12
9501,95,1985,25,12
9502,95,1987,26,12
9503,95,1988,28,12
9601,96,1980,19,12
9602,96,1986,25,12
9603,96,1998,36,12
9701,97,1987,29,14
9702,97,1989,31,14
9801,98,1987,30,13
9802,98,1990,33,13
9803,98,1994,37,13
9901,99,1987,29,14
9902,99,1993,35,14
10001,100,1985,21,13
10002,100,1991,27,13
10003,100,1993,29,13
10201,102,1992,27,16
11101,111,1982,22,12
11102,111,1983,24,12
11103,111,1987,27,12
11201,112,1982,18,12
11202,112,1997,33,12
11501,115,1993,32,16
11502,115,1994,33,16
11503,115,1996,35,16
11504,115,1997,36,16
11801,118,1981,20,9
11802,118,1991,29,9
12101,121,1992,28,17
12401,124,1988,27,15
12402,124,1990,28,15
12801,128,1982,24,13
12802,128,1986,27,13
13301,133,1992,29,14
13701,137,1988,26,16
13702,137,1991,29,16
13801,138,1989,26,16
13802,138,1991,28,16
13803,138,1993,30,16
14001,140,1993,34,18
14301,143,1985,24,16
14302,143,1988,26,16
14303,143,1990,29,16
14304,143,1990,29,16
14401,144,1992,28,12
14402,144,1994,30,12
14403,144,1997,32,12
14701,147,1987,26,14
14702,147,1990,28,14
14901,149,1991,27,12
14902,149,1993,29,12
15301,153,1985,22,12
15302,153,1986,23,12
15701,157,1985,22,20
15702,157,1987,25,20
15801,158,1985,26,18
15802,158,1988,30,18
15901,159,1985,25,16
15902,159,1987,27,16
15903,159,1990,29,16
15904,159,1993,32,16
15905,159,1993,32,16
16001,160,1990,30,14
16101,161,1994,33,12
16102,161,1996,35,12
16501,165,1988,27,12
16502,165,1992,31,12
16503,165,1998,37,12
16701,167,1985,24,12
16702,167,1987,27,12
17201,172,1993,35,9
17401,174,1985,25,13
17402,174,1990,29,13
17501,175,1982,24,95
17502,175,1983,26,95
17503,175,1986,28,95
17504,175,1992,34,95
17901,179,1981,22,12
17902,179,1983,25,12
18001,180,1978,21,16
18002,180,1982,24,16
18003,180,1984,27,16
18301,183,1984,26,12
18302,183,1987,29,12
18303,183,1991,32,12
18401,184,1999,38,16
18601,186,1991,31,18
18801,188,1985,26,12
19001,190,1995,33,18
19201,192,1991,27,16
19202,192,1994,31,16
19203,192,1998,35,16
19701,197,1989,27,12
19702,197,1990,28,12
20001,200,1983,24,12
20002,200,1987,29,12
20301,203,1986,28,13
20302,203,1990,32,13
20401,204,1975,18,12
20402,204,1984,27,12
20501,205,1978,21,12
20502,205,1981,24,12
20503,205,1986,29,12
20801,208,1975,17,12
21101,211,1996,32,16
21102,211,1997,33,16
21103,211,1999,35,16
21104,211,2003,39,16
22101,221,1986,21,10
22102,221,1987,23,10
22103,221,1989,24,10
22104,221,1991,26,10
22401,224,1974,14,12
22402,224,1977,17,12
22403,224,1979,18,12
22701,227,1975,17,12
22702,227,1977,19,12
22703,227,1985,27,12
22704,227,1994,36,12
22801,228,1980,22,10
22802,228,1986,28,10
22803,228,1987,30,10
22804,228,1990,32,10
22901,229,1992,29,12
23101,231,1990,32,12
23102,231,1993,35,12
23601,236,1988,26,14
23602,236,1990,29,14
23603,236,1995,33,14
23701,237,1981,23,13
23901,239,1980,19,11
23902,239,1983,22,11
23903,239,1984,23,11
24001,240,1984,22,12
24002,240,1986,24,12
24201,242,1986,27,13
24401,244,1975,18,12
24402,244,1979,22,12
24403,244,1991,34,12
24501,245,1992,29,14
24502,245,1996,33,14
24503,245,1999,36,14
24901,249,1982,18,17
24902,249,1984,21,17
24903,249,1993,30,17
24904,249,2002,39,17
25001,250,1982,24,12
25002,250,1986,27,12
25201,252,1983,19,12
25202,252,1991,27,12
25401,254,1981,20,12
25402,254,1982,21,12
25403,254,1989,28,12
25404,254,1994,32,12
25405,254,1995,34,12
25501,255,1983,21,12
25502,255,1984,21,12
25503,255,1987,24,12
25504,255,1991,28,12
25505,255,1997,35,12
25601,256,1980,18,13
25602,256,2001,39,13
25801,258,1980,22,14
25802,258,1981,23,14
25803,258,1984,26,14
26201,262,1985,24,12
26202,262,1992,32,12
26501,265,1990,28,16
26502,265,1992,29,16
26503,265,1993,31,16
26504,265,1996,34,16
27201,272,1984,27,16
27202,272,1986,29,16
27203,272,1989,32,16
27204,272,1994,37,16
27501,275,1991,28,14
27502,275,1993,30,14
27801,278,1987,26,13
27802,278,1991,31,13
27803,278,1994,34,13
27804,278,2003,42,13
28201,282,1991,28,16
28202,282,1994,30,16
28501,285,1977,16,12
28502,285,1981,20,12
28503,285,1985,24,12
28701,287,1981,22,12
28702,287,1991,32,12
28801,288,1979,18,12
28802,288,1986,24,12
28803,288,1993,31,12
28804,288,1999,37,12
28805,288,2000,38,12
28806,288,2000,38,12
28901,289,1981,19,12
28902,289,1985,23,12
29001,290,1979,19,11
29002,290,1983,23,11
29201,292,1990,32,20
29202,292,1991,34,20
29301,293,1985,26,13
29302,293,1988,28,13
29401,294,1983,22,12
29402,294,1987,25,12
29403,294,1990,29,12
29701,297,1978,21,12
29702,297,1993,35,12
29801,298,1989,25,14
29802,298,1996,32,14
30501,305,1980,17,12
30502,305,1983,21,12
31201,312,1983,20,16
31202,312,1985,23,16
31401,314,1981,22,14
31402,314,1983,25,14
31403,314,1985,26,14
31404,314,1986,27,14
31405,314,1988,29,14
32101,321,1989,31,16
32102,321,1991,33,16
32103,321,1994,36,16
32201,322,1988,30,16
32202,322,1990,31,16
32203,322,1991,33,16
33301,333,1980,23,12
33302,333,1988,31,12
33501,335,1989,32,16
33801,338,1980,20,14
33802,338,1986,26,14
33901,339,1981,20,11
34001,340,1981,19,15
34002,340,1983,20,15
34003,340,1988,25,15
34301,343,1978,19,13
34401,344,1990,30,17
34402,344,1991,31,17
34501,345,1988,24,16
34701,347,1989,26,18
34702,347,1990,27,18
35401,354,1989,32,12
35402,354,1995,38,12
36501,365,1987,25,14
36502,365,1989,27,14
36503,365,1991,30,14
36504,365,1995,33,14
36505,365,1995,33,14
36901,369,1991,32,16
36902,369,1994,35,16
37101,371,1986,27,14
37102,371,1989,29,14
37103,371,1990,30,14
37301,373,1981,22,12
37302,373,1983,24,12
37401,374,1980,19,12
37402,374,1983,21,12
37403,374,1984,23,12
37901,379,1983,19,9
37902,379,1985,21,9
37903,379,1986,22,9
38201,382,1976,16,13
38202,382,1983,23,13
38501,385,1986,24,12
38502,385,1987,26,12
38503,385,1997,36,12
38801,388,1987,24,15
38802,388,1990,27,15
38803,388,1997,34,15
38901,389,1983,25,12
38902,389,1987,30,12
39001,390,1979,17,10
39002,390,1989,28,10
39003,390,1991,29,10
39004,390,1999,37,10
39101,391,1982,18,12
39102,391,1985,21,12
39103,391,1992,28,12
39501,395,1984,21,14
39502,395,1986,23,14
39701,397,1976,16,11
39702,397,1982,23,11
39703,397,1991,32,11
39704,397,1998,38,11
39901,399,1984,27,18
40001,400,1990,28,16
40101,401,1982,20,12
40102,401,1988,26,12
40201,402,1981,23,12
40202,402,1985,27,12
40203,402,1993,35,12
40501,405,1991,32,14
40502,405,1993,33,14
40503,405,1995,35,14
40701,407,1994,31,18
40702,407,1996,33,18
41401,414,1986,22,15
41402,414,1989,25,15
41601,416,1984,26,20
41602,416,1986,29,20
41603,416,1989,31,20
41604,416,1992,34,20
41801,418,1988,24,13
42301,423,1995,34,20
42302,423,1997,37,20
42501,425,1976,18,13
42502,425,1978,21,13
42503,425,1981,24,13
42504,425,1991,34,13
42505,425,1995,37,13
42701,427,1980,22,13
42801,428,1982,24,14
42802,428,1984,26,14
43101,431,1987,27,14
43102,431,1989,29,14
43103,431,1990,30,14
43701,437,1981,23,12
43702,437,1984,26,12
43703,437,1987,29,12
43801,438,1987,24,13
43901,439,1994,33,16
43902,439,1996,35,16
44201,442,1975,18,13
44202,442,1979,21,13
44203,442,1982,25,13
44401,444,1990,28,16
44402,444,1993,31,16
44601,446,1981,22,12
44602,446,1984,25,12
44901,449,1996,36,12
44902,449,2002,42,12
45201,452,1994,29,18
45202,452,1997,33,18
45501,455,1989,30,20
45502,455,1992,32,20
45801,458,1993,31,19
45901,459,1991,27,20
45902,459,1992,29,20
45903,459,1995,32,20
46201,462,1995,35,18
46501,465,1984,20,12
46701,467,1985,24,16
46702,467,1990,29,16
47101,471,1979,20,12
47102,471,1981,22,12
47201,472,1998,35,11
47401,474,1989,28,12
47402,474,1991,30,12
47403,474,1997,36,12
47501,475,1993,29,12
47601,476,1990,26,12
47602,476,1992,28,12
47801,478,1975,15,12
47802,478,1978,18,12
48501,485,1980,17,12
48502,485,1990,27,12
48503,485,1991,29,12
49101,491,1974,14,12
49102,491,1979,19,12
49201,492,1989,28,12
49202,492,1991,30,12
49203,492,1994,33,12
49401,494,1985,27,15
49402,494,1988,29,15
49501,495,1986,25,18
49502,495,1988,28,18
49901,499,1981,19,14
50101,501,1999,36,19
50102,501,2001,37,19
50301,503,1981,19,12
50302,503,1986,25,12
50303,503,1989,28,12
50401,504,1981,17,10
50402,504,1989,25,10
50403,504,1996,32,10
50601,506,1992,31,16
50701,507,1985,23,14
50702,507,1987,25,14
51401,514,1986,23,12
51402,514,1990,27,12
51403,514,1992,28,12
51501,515,1987,22,16
51502,515,1988,24,16
51901,519,1989,25,12
52201,522,1978,16,14
52202,522,2000,37,14
52501,525,1994,34,15
52502,525,1998,38,15
52801,528,1981,17,12
52802,528,1985,21,12
52901,529,1982,24,12
52902,529,1984,26,12
52903,529,1985,27,12
53001,530,1974,17,10
53002,530,1975,18,10
53003,530,1977,20,10
53201,532,1975,17,12
53202,532,1977,19,12
53301,533,1993,33,15
53601,536,1985,25,10
53602,536,1990,29,10
54201,542,1983,21,12
54202,542,1987,25,12
54401,544,1989,28,12
54601,546,1981,17,11
54602,546,1989,25,11
54801,548,1982,20,12
54802,548,1986,23,12
54803,548,1990,27,12
54804,548,1997,35,12
55001,550,1980,21,12
55002,550,1983,24,12
55201,552,1985,24,16
55202,552,1987,27,16
55701,557,1988,28,17
55702,557,1990,30,17
55703,557,1991,32,17
55704,557,1994,34,17
55801,558,1991,28,20
55802,558,1992,30,20
55803,558,1995,32,20
56301,563,1979,21,13
56302,563,1982,23,13
56303,563,1991,33,13
56701,567,1993,30,14
56702,567,1995,32,14
56801,568,1991,29,12
57201,572,1986,25,12
57401,574,1988,25,17
57601,576,1990,29,18
57602,576,1992,31,18
57603,576,1994,32,18
57604,576,1998,36,18
57901,579,1988,25,13
57902,579,1992,29,13
58201,582,1986,27,16
58501,585,1979,16,10
58502,585,1980,17,10
58503,585,1983,19,10
58504,585,1989,26,10
58505,585,1991,28,10
58801,588,1979,16,9
58802,588,1981,18,9
58803,588,1989,26,9
58804,588,1993,30,9
58901,589,1980,17,7
58902,589,1998,35,7
59001,590,1978,16,13
59002,590,1979,17,13
59003,590,1981,19,13
59004,590,1983,21,13
59301,593,1973,15,14
59302,593,1975,17,14
60401,604,1983,21,15
60402,604,1990,28,15
60403,604,1993,30,15
60404,604,1995,33,15
60801,608,1986,26,16
60802,608,1990,30,16
60803,608,1993,33,16
61101,611,1983,24,20
61102,611,1986,27,20
61401,614,1978,20,20
61402,614,1982,24,20
61501,615,1983,22,11
61502,615,1988,28,11
61801,618,1977,18,16
61802,618,1980,21,16
61803,618,1991,31,16
61901,619,1975,17,13
61902,619,1978,20,13
61903,619,1980,22,13
61904,619,1982,24,13
61905,619,1985,27,13
61906,619,1988,30,13
62101,621,1987,26,12
62102,621,1989,29,12
62103,621,1994,33,12
62201,622,1989,24,15
62202,622,1996,32,15
62203,622,2004,40,15
62301,623,1979,18,14
62302,623,1983,22,14
62701,627,1976,19,12
62702,627,1979,22,12
62703,627,1989,32,12
62704,627,1990,33,12
63201,632,1978,17,9
63202,632,1980,20,9
63203,632,1987,26,9
63401,634,1984,24,12
63402,634,1987,27,12
63403,634,1990,30,12
63501,635,1979,22,12
63502,635,1982,25,12
64001,640,1985,22,12
64002,640,1989,26,12
64201,642,1988,25,12
64202,642,1989,26,12
64301,643,1994,30,12
64801,648,1984,20,13
65001,650,1992,31,16
65002,650,1994,33,16
65401,654,1987,23,14
65601,656,1989,26,18
65602,656,1992,29,18
65701,657,1996,33,20
65702,657,1999,35,20
66001,660,1988,28,14
66002,660,1990,30,14
66003,660,1993,33,14
66201,662,1989,26,12
66202,662,1991,28,12
66401,664,1988,28,18
66402,664,1993,33,18
66501,665,1999,35,17
66502,665,2001,36,17
66801,668,1983,19,14
66802,668,1988,23,14
66803,668,1990,25,14
66804,668,1992,27,14
66805,668,2005,41,14
67701,677,1985,23,13
67702,677,1989,27,13
67703,677,1991,28,13
67704,677,1991,28,13
68801,688,1986,23,14
68802,688,1989,27,14
68901,689,1986,22,13
68902,689,1992,28,13
68903,689,2001,37,13
69101,691,1984,23,13
69102,691,1985,24,13
69103,691,1989,28,13
69201,692,1981,19,14
69202,692,1985,22,14
69401,694,1978,18,12
69402,694,1980,21,12
69403,694,1984,25,12
69404,694,1986,26,12
69601,696,1980,16,13
69801,698,1977,17,10
69802,698,1981,22,10
70301,703,1980,18,15
70302,703,1986,24,15
70303,703,1992,30,15
70401,704,1980,22,14
70402,704,1984,26,14
70601,706,1976,19,15
70602,706,1979,22,15
70603,706,1985,28,15
70604,706,1987,30,15
70605,706,1992,35,15
70801,708,1980,20,12
71201,712,1983,24,14
71202,712,1986,27,14
71301,713,1987,24,12
71302,713,1988,25,12
72001,720,1980,19,12
72002,720,1982,21,12
72101,721,1986,23,13
72102,721,1989,26,13
72401,724,1985,24,15
72402,724,1988,26,15
72601,726,1982,20,15
72602,726,1989,27,15
72603,726,1994,32,15
73301,733,1985,21,13
73302,733,1985,21,13
73303,733,1989,26,13
73304,733,1991,27,13
73601,736,1984,20,12
73602,736,1987,24,12
73901,739,1978,19,12
73902,739,1980,22,12
73903,739,1987,29,12
74001,740,1983,20,14
74301,743,1992,32,18
74302,743,1992,32,18
74401,744,1980,20,15
74402,744,2001,41,15
74601,746,1987,26,14
74602,746,1990,29,14
75201,752,1989,32,19
75202,752,1994,37,19
75501,755,1978,17,12
75502,755,1981,19,12
75503,755,1990,29,12
75601,756,1983,19,12
75602,756,1984,20,12
75603,756,1990,26,12
75604,756,1992,28,12
75605,756,2001,37,12
75701,757,1980,18,18
75702,757,1994,32,18
75801,758,1983,23,12
75901,759,1977,17,13
75902,759,1982,22,13
75903,759,1993,32,13
75904,759,1996,35,13
76101,761,1979,20,15
76102,761,1983,24,15
76103,761,1993,34,15
76401,764,1982,18,16
76402,764,1986,22,16
76403,764,1987,23,16
76404,764,1988,25,16
76405,764,1991,27,16
76801,768,1979,17,14
