R0000100,race,female
1,3,1
2,3,1
3,3,1
4,3,1
5,3,0
6,3,0
7,3,0
8,3,1
9,3,0
10,3,1
11,3,0
12,3,1
13,3,0
14,3,1
15,3,0
16,3,1
17,3,0
18,3,0
19,3,1
20,3,1
21,3,1
22,3,1
23,3,0
24,3,0
25,3,1
26,3,0
27,3,1
28,3,1
29,3,1
30,3,1
31,1,0
32,1,1
33,1,0
34,3,0
35,3,1
36,3,0
37,3,1
38,3,1
39,3,0
40,3,0
41,3,0
42,3,0
43,3,1
44,3,1
45,3,0
46,3,1
47,3,0
48,3,0
49,3,1
50,3,1
51,3,0
52,3,0
53,1,0
54,3,0
55,3,0
56,3,1
57,3,1
58,3,1
59,3,0
60,3,0
61,3,1
62,3,1
63,3,0
64,3,0
65,3,1
66,3,0
67,3,0
68,3,1
69,3,0
70,3,0
71,3,0
72,3,1
73,3,0
74,3,1
75,3,1
76,3,0
77,3,1
78,3,1
79,3,0
80,3,0
81,3,0
82,2,0
83,2,0
84,2,0
85,2,0
86,2,1
87,2,0
88,2,0
89,2,1
90,3,0
91,3,1
92,3,1
93,3,0
94,3,0
95,3,1
96,3,1
97,3,1
98,3,1
99,3,1
100,3,1
101,3,0
102,3,1
103,3,0
104,3,1
105,3,1
106,3,0
107,3,0
108,3,0
109,3,1
110,3,0
111,3,1
112,3,1
113,3,0
114,3,0
115,3,1
116,3,1
117,3,0
118,3,1
119,3,0
120,3,0
121,3,1
122,3,0
123,3,0
124,3,1
125,3,0
126,3,0
127,3,0
128,3,1
129,3,0
130,3,1
131,3,1
132,3,1
133,3,1
134,3,0
135,3,0
136,3,1
137,3,1
138,3,1
139,3,0
140,3,1
141,3,1
142,3,0
143,3,1
144,3,1
145,3,0
146,3,0
147,3,1
148,3,0
149,3,1
150,3,0
151,3,1
152,3,1
153,3,1
154,3,1
155,3,0
156,3,0
157,3,1
158,3,1
159,3,1
160,3,1
161,3,1
162,3,0
163,3,0
164,3,1
165,3,1
166,3,0
167,3,1
168,2,0
169,2,1
170,3,1
171,3,0
172,3,1
173,3,0
174,1,1
175,3,1
176,3,1
177,3,0
178,3,0
179,3,1
180,3,1
181,3,0
182,3,0
183,3,1
184,3,1
185,3,0
186,3,1
187,3,0
188,3,1
189,3,0
190,3,1
191,3,0
192,3,1
193,3,0
194,3,0
195,3,0
196,3,0
197,3,1
198,3,0
199,3,0
200,3,1
201,3,0
202,3,0
203,1,1
204,1,1
205,1,1
206,3,0
207,3,0
208,3,1
209,3,0
210,3,0
211,3,1
212,3,0
213,3,0
214,3,0
215,3,0
216,3,1
217,3,0
218,3,0
219,3,1
220,3,1
221,2,1
222,2,0
223,2,0
224,2,1
225,1,0
226,1,0
227,2,1
228,1,1
229,3,1
230,3,0
231,3,1
232,3,0
233,3,0
234,3,0
235,3,0
236,3,1
237,3,1
238,3,1
239,3,1
240,3,1
241,3,0
242,3,1
243,3,0
244,3,1
245,3,1
246,3,0
247,3,0
248,3,0
249,3,1
250,3,1
251,3,0
252,3,1
253,3,0
254,3,1
255,3,1
256,3,1
257,3,0
258,3,1
259,3,0
260,3,0
261,3,0
262,3,1
263,3,0
264,3,1
265,3,1
266,3,0
267,3,0
268,3,0
269,3,0
270,3,0
271,3,1
272,3,1
273,3,0
274,3,0
275,3,1
276,3,1
277,3,0
278,3,1
279,3,0
280,3,1
281,3,0
282,3,1
283,1,0
284,1,0
285,1,1
286,1,1
287,3,1
288,3,1
289,3,1
290,1,1
291,2,0
292,3,1
293,3,1
294,3,1
295,3,0
296,3,0
297,3,1
298,1,1
299,1,0
300,1,0
301,1,0
302,1,0
303,1,0
304,1,0
305,1,1
306,2,0
307,3,1
308,3,0
309,3,0
310,3,0
311,3,0
312,3,1
313,3,0
314,3,1
315,3,0
316,3,0
317,3,0
318,3,0
319,3,1
320,3,0
321,3,1
322,3,1
323,3,0
324,3,0
325,3,0
326,3,1
327,3,1
328,1,0
329,1,0
330,1,0
331,1,0
332,1,0
333,2,1
334,2,0
335,2,1
336,2,0
337,2,0
338,2,1
339,2,1
340,2,1
341,3,1
342,3,0
343,2,1
344,3,1
345,2,1
346,3,0
347,3,1
348,3,0
349,3,0
350,3,0
351,3,0
352,3,1
353,3,0
354,3,1
355,3,0
356,3,0
357,3,0
358,3,0
359,3,1
360,3,1
361,3,0
362,3,0
363,3,1
364,3,0
365,3,1
366,3,0
367,3,1
368,2,1
369,3,1
370,3,1
371,3,1
372,3,0
373,3,1
374,3,1
375,3,0
376,3,0
377,2,0
378,2,0
379,2,1
380,2,0
381,2,0
382,2,1
383,2,0
384,2,0
385,2,1
386,2,1
387,2,0
388,2,1
389,3,1
390,2,1
391,2,1
392,3,0
393,3,0
394,2,0
395,2,1
396,2,0
397,2,1
398,2,0
399,3,1
400,3,1
401,3,1
402,3,1
403,3,0
404,3,0
405,3,1
406,3,0
407,3,1
408,3,0
409,3,0
410,3,0
411,3,0
412,3,0
413,3,0
414,3,1
415,3,0
416,3,1
417,3,0
418,3,1
419,3,0
420,3,0
421,3,0
422,3,0
423,3,1
424,3,0
425,3,1
426,1,0
427,3,1
428,3,1
429,3,0
430,3,0
431,3,1
432,3,0
433,3,0
434,3,0
435,3,0
436,3,1
437,3,1
438,3,1
439,3,1
440,3,0
441,3,0
442,3,1
443,3,0
444,3,1
445,3,0
446,3,1
447,3,0
448,3,0
449,3,1
450,3,0
451,3,0
452,3,1
453,3,0
454,3,1
455,3,1
456,3,0
457,3,0
458,3,1
459,3,1
460,3,1
461,3,0
462,3,1
463,3,0
464,3,0
465,3,1
466,3,0
467,3,1
468,3,0
469,1,0
470,3,0
471,3,1
472,3,1
473,3,0
474,3,1
475,3,1
476,3,1
477,3,0
478,3,1
479,3,0
480,3,0
481,3,0
482,3,0
483,3,0
484,3,0
485,3,1
486,3,0
487,3,1
488,3,0
489,3,0
490,3,0
491,3,1
492,3,1
493,3,0
494,3,1
495,3,1
496,3,1
497,3,0
498,3,0
499,3,1
500,3,1
501,3,1
502,3,0
503,3,1
504,3,1
505,3,0
506,3,1
507,3,1
508,3,0
509,3,0
510,3,1
511,3,0
512,3,0
513,2,0
514,2,1
515,3,1
516,2,0
517,2,0
518,2,0
519,2,1
520,2,0
521,2,0
522,2,1
523,2,0
524,2,0
525,2,1
526,3,0
527,3,1
528,3,1
529,3,1
530,3,1
531,3,0
532,3,1
533,3,1
534,3,0
535,3,0
536,3,1
537,3,0
538,3,0
539,3,0
540,3,0
541,3,0
542,3,1
543,3,0
544,3,1
545,3,0
546,3,1
547,3,0
548,3,1
549,3,0
550,3,1
551,3,1
552,3,1
553,3,0
554,3,0
555,3,0
556,3,0
557,3,1
558,3,1
559,3,0
560,3,0
561,3,1
562,3,0
563,3,1
564,3,0
565,3,0
566,3,1
567,3,1
568,3,1
569,3,0
570,3,0
571,3,0
572,3,1
573,3,0
574,3,1
575,3,0
576,3,1
577,3,1
578,3,0
579,3,1
580,3,0
581,3,0
582,3,1
583,3,0
584,3,0
585,3,1
586,3,0
587,3,0
588,3,1
589,3,1
590,3,1
591,1,1
592,3,0
593,1,1
594,2,0
595,2,0
596,2,0
597,2,0
598,2,1
599,2,0
600,3,0
601,3,1
602,3,0
603,3,1
604,3,1
