R0000100,reside_parent_type,age_stopped_living_w_parent
1,,
2,1,18
3,2,6
4,1,18
5,1,18
6,1,18
7,2,2
8,1,18
9,0,4
10,0,10
11,,
12,,
13,1,18
14,1,18
15,1,18
16,1,18
17,0,12
18,0,1
19,1,18
20,1,18
21,1,18
22,1,18
23,,
24,1,18
25,1,18
26,2,8
27,1,18
28,1,18
29,1,18
30,1,18
31,2,9
32,1,18
33,,
34,0,14
35,0,10
36,2,2
37,1,18
38,1,18
39,2,9
40,0,11
41,0,11
42,1,18
43,2,
44,1,18
45,2,13
46,2,9
47,1,18
48,,
49,1,18
50,0,12
51,,
52,,
53,1,18
54,1,18
55,,
56,,
57,1,18
58,1,18
59,1,18
60,1,18
61,1,18
62,1,18
63,,
64,,
65,,
66,1,18
67,1,18
68,1,18
69,,
70,1,18
71,1,18
72,1,18
73,0,11
74,1,18
75,1,18
76,1,18
77,1,18
78,1,18
79,1,18
80,1,18
81,1,18
82,1,18
83,1,18
84,1,18
85,0,
86,1,18
87,1,18
88,2,2
89,2,16
90,1,18
91,1,18
92,2,1
93,1,18
94,,
95,1,18
96,0,16
97,0,16
98,1,18
99,1,18
100,0,16
101,1,18
102,1,18
103,2,7
104,,
105,0,6
106,0,14
107,1,18
108,1,18
109,1,18
110,1,18
111,1,18
112,1,18
113,,
114,,
115,,
116,,
117,1,18
118,,
119,1,18
120,1,18
121,1,18
122,1,18
123,1,18
124,2,16
125,,
126,1,18
127,,
128,1,18
129,1,18
130,,
131,,
132,,
133,1,18
134,1,18
135,1,18
136,1,18
137,1,18
138,1,18
139,1,18
140,1,18
141,1,18
142,1,18
143,,
144,0,14
145,1,18
146,1,18
147,1,18
148,2,13
149,2,11
150,2,1
151,1,18
152,1,18
153,2,7
154,,
155,0,15
156,,
157,1,18
158,1,18
159,1,18
160,1,18
161,1,18
162,1,18
163,1,18
164,0,16
165,1,18
166,1,18
167,1,18
168,,
169,,
170,0,12
171,1,18
172,0,8
173,0,
174,1,18
175,,
176,1,18
177,1,18
178,1,18
179,1,18
180,1,18
181,,
182,,
183,1,18
184,1,18
185,1,18
186,1,18
187,1,18
188,1,18
189,1,18
190,1,18
191,1,18
192,,
193,1,18
194,1,18
195,1,18
196,1,18
197,1,18
198,1,18
199,1,18
200,1,18
201,1,18
202,1,18
203,,
204,2,7
205,1,18
206,,
207,2,8
208,1,18
209,0,14
210,1,18
211,1,18
212,1,18
213,1,18
214,1,18
215,1,18
216,,
217,,
218,2,16
219,1,18
220,1,18
221,0,6
222,0,7
223,0,5
224,0,10
225,0,5
226,1,18
227,0,12
228,1,18
229,1,18
230,1,18
231,1,18
232,1,18
233,1,18
234,0,17
235,0,
236,1,18
237,0,14
238,,
239,0,16
240,1,18
241,1,18
242,1,18
243,1,18
244,1,18
245,,
246,1,18
247,0,6
248,2,3
249,0,5
250,1,18
251,,
252,0,12
253,0,7
254,0,17
255,1,18
256,1,18
257,1,18
258,1,18
259,1,18
260,1,18
261,1,18
262,1,18
263,1,18
264,0,17
265,2,8
266,,
267,,
268,1,18
269,0,15
270,,
271,1,18
272,1,18
273,0,9
274,0,8
275,0,7
276,1,18
277,1,18
278,1,18
279,1,18
280,0,13
281,1,18
282,1,18
283,1,18
284,1,18
285,0,15
286,1,18
287,1,18
288,1,18
289,1,18
290,1,18
291,2,
292,1,18
293,1,18
294,1,18
295,0,16
296,0,12
297,1,18
298,2,10
299,1,18
300,0,
301,2,6
302,2,5
303,0,15
304,2,17
305,,
306,0,13
307,1,18
308,1,18
309,1,18
310,1,18
311,1,18
312,0,16
313,0,15
314,1,18
315,1,18
316,1,18
317,1,18
318,1,18
319,1,18
320,1,18
321,1,18
322,1,18
323,1,18
324,1,18
325,1,18
326,,
327,1,18
328,,
329,,
330,0,
331,0,11
332,2,15
333,0,13
334,0,15
335,1,18
336,0,6
337,1,18
338,0,17
339,2,4
340,0,5
341,1,18
342,1,18
343,0,13
344,1,18
345,,
346,1,18
347,1,18
348,1,18
349,1,18
350,1,18
351,1,18
352,1,18
353,0,13
354,1,18
355,0,9
356,1,18
357,1,18
358,1,18
359,1,18
360,1,18
361,1,18
362,1,18
363,1,18
364,1,18
365,1,18
366,1,18
367,1,18
368,1,18
369,1,18
370,1,18
371,1,18
372,1,18
373,,
374,1,18
375,,
376,1,18
377,2,6
378,2,14
379,0,14
380,0,17
381,1,18
382,1,18
383,1,18
384,0,13
385,1,18
386,1,18
387,1,18
