"R0000100","R2737900","R2738000","R2738100","R2738200","R2738300","R2738500"
1,-5,-5,-5,-5,-5,-5
2,1,-4,-4,-4,-4,-4
3,0,1,0,0,6,2
4,1,-4,-4,-4,-4,-4
5,1,-4,-4,-4,-4,-4
6,1,-4,-4,-4,-4,-4
7,0,1,0,0,2,2
8,1,-4,-4,-4,-4,-4
9,0,0,0,1,4,2
10,0,0,0,0,10,2
11,-5,-5,-5,-5,-5,-5
12,-5,-5,-5,-5,-5,-5
13,1,-4,-4,-4,-4,-4
14,1,-4,-4,-4,-4,-4
15,1,-4,-4,-4,-4,-4
16,1,-4,-4,-4,-4,-4
17,0,0,0,0,12,1
18,0,0,0,0,1,1
19,1,-4,-4,-4,-4,-4
20,1,-4,-4,-4,-4,-4
21,1,-4,-4,-4,-4,-4
22,1,-4,-4,-4,-4,-4
23,-5,-5,-5,-5,-5,-5
24,1,-4,-4,-4,-4,-4
25,1,-4,-4,-4,-4,-4
26,0,1,0,0,8,2
27,1,-4,-4,-4,-4,-4
28,1,-4,-4,-4,-4,-4
29,1,-4,-4,-4,-4,-4
30,1,-4,-4,-4,-4,-4
31,0,1,0,0,9,2
32,1,-4,-4,-4,-4,-4
33,-5,-5,-5,-5,-5,-5
34,0,0,0,0,14,1
35,0,0,0,0,10,1
36,0,1,0,1,2,2
37,1,-4,-4,-4,-4,-4
38,1,-4,-4,-4,-4,-4
39,0,1,0,0,9,1
40,0,0,0,1,11,2
41,0,0,0,1,11,2
42,1,-4,-4,-4,-4,-4
43,0,1,0,0,0,-4
44,1,-4,-4,-4,-4,-4
45,0,1,0,0,13,7
46,0,1,0,0,9,2
47,1,-4,-4,-4,-4,-4
48,-5,-5,-5,-5,-5,-5
49,1,-4,-4,-4,-4,-4
50,0,0,0,0,12,2
51,-5,-5,-5,-5,-5,-5
52,-5,-5,-5,-5,-5,-5
53,1,-4,-4,-4,-4,-4
54,1,-4,-4,-4,-4,-4
55,-5,-5,-5,-5,-5,-5
56,-5,-5,-5,-5,-5,-5
57,1,-4,-4,-4,-4,-4
58,1,-4,-4,-4,-4,-4
59,1,-4,-4,-4,-4,-4
60,1,-4,-4,-4,-4,-4
61,1,-4,-4,-4,-4,-4
62,1,-4,-4,-4,-4,-4
63,-5,-5,-5,-5,-5,-5
64,-5,-5,-5,-5,-5,-5
65,-5,-5,-5,-5,-5,-5
66,1,-4,-4,-4,-4,-4
67,1,-4,-4,-4,-4,-4
68,1,-4,-4,-4,-4,-4
69,-5,-5,-5,-5,-5,-5
70,1,-4,-4,-4,-4,-4
71,1,-4,-4,-4,-4,-4
72,1,-4,-4,-4,-4,-4
73,0,0,0,0,11,2
74,1,-4,-4,-4,-4,-4
